Q2	Q3504248
Q1259104	Q56242250
Q1259297	Q178285 Q93249
Q1259332	Q4022
Q1259759	Q15961987
Q1260279	Q5
Q1260338	Q3231690
Q1260883	Q215380
Q1261136	Q215380
Q1261578	Q5398426
Q1261834	Q5
Q1261962	Q277759
Q1262225	Q5
Q1262565	Q811701
Q1262796	Q215380
Q1262927	Q11424
Q1263803	Q5
Q1264222	Q5
Q1264983	Q5398426
Q1265560	Q23442
Q1265564	Q366301
Q1265604	Q46831
Q1265605	Q5
Q1265687	Q1149652
Q1265839	Q11424
Q1266046	Q5
Q1266167	Q23413
Q1266203	Q726870 Q4830453
Q1266397	Q5
Q1266620	Q5
Q1266729	Q476028
Q1267116	Q5
Q1267987	Q41710
Q1268572	Q42045197
Q1269091	Q5
Q1269170	Q4830453
Q1269205	
Q1269234	Q3024240
Q1269450	Q5
Q1269958	Q5398426
Q1269983	Q3231690
Q1270441	Q5
Q1271100	Q5
Q1272132	Q178561
Q1272485	Q23397 Q23413
Q1273031	Q23442
Q1273438	Q5
Q1273736	Q11424
Q1273891	Q5
Q1274054	Q5
Q1274084	Q5
Q1274293	Q167037
Q1274366	Q4164871
Q1275039	Q5
Q1275655	
Q1275748	Q23866334
Q1276720	Q5
Q1276797	Q3231690
Q1276830	Q3231690
Q1277006	Q5
Q1277048	Q43229
Q1277469	Q5
Q1277567	Q622425
Q1277758	Q2087773
Q1277783	Q137535
Q1277958	Q902814 Q486972 Q57058
Q1278086	Q3231690
Q1278140	Q5
Q1278399	Q1259759 Q5398426
Q1278439	
Q1278637	Q5398426
Q1278788	Q325668
Q1278973	Q5
Q1280214	Q5
Q1280223	Q751876
Q1280234	Q5
Q1280402	Q5
Q1280506	Q5
Q1280917	Q5
Q1281029	Q215380
Q1281133	Q5
Q1281282	Q11032
Q1281641	Q618779
Q1281750	Q5
Q1281783	Q5
Q1281878	Q23866334
Q1281950	Q5
Q1282007	Q5
Q1282269	Q55990535
Q1282276	
Q1282426	Q5
Q1282562	Q5
Q1282645	Q5
Q1282743	Q5
Q1282764	Q5
Q1282863	Q5
Q1282931	Q5
Q1283177	Q1254773
Q1283499	Q5
Q1283994	Q215380
Q1284002	Q5
Q1284004	Q5
Q1284201	Q215380
Q1284687	Q11173
Q1284693	Q11483816 Q40244 Q132241
Q1284744	Q955824
Q1284745	Q220505
Q1284975	Q5
Q1285356	
Q1285463	Q1230759 Q4164871
Q1285499	Q7188
Q1285685	Q5
Q1285795	Q5
Q1286395	Q215380
Q1286940	Q11032
Q1287097	Q2235308
Q1287308	Q5398426
Q1287337	
Q1287924	Q5
Q1287983	Q5
Q1288128	Q5
Q1288248	Q5
Q1288608	Q5
Q1288644	Q5
Q1289034	Q5
Q1289203	Q5
Q1289807	
Q1290002	Q3284499
Q1290552	Q17005145 Q1078765
Q1291435	Q5
Q1291775	Q137535
Q1291793	Q137535
Q1291942	Q5
Q1292053	Q5
Q1292523	Q5
Q1292960	Q5
Q1293017	Q5
Q1293695	Q5
Q1293767	Q5
Q1293858	Q5
Q1294021	Q16937237 Q11016 Q20155966
Q1294303	Q7307130
Q1294765	Q4164871 Q42045197
Q1294789	Q811704
Q1295458	Q5398426
Q1295611	Q5
Q1295629	Q4022
Q1296131	Q5
Q1296464	Q193424
Q1296559	Q5
Q1297016	Q5
Q1297894	Q353344 Q58001476 Q3024240
Q1298330	Q5
Q1299105	Q7278
Q1299477	Q20026879
Q1299603	Q3231690
Q1299822	
Q1300742	Q178561
Q1301142	Q5
Q1302552	Q63952888 Q21198342 Q231302
Q1303048	Q215380
Q1303236	Q3231690
Q1303394	Q5
Q1304408	Q5398426
Q1304536	Q11424
Q1304961	Q47461344
Q1305385	Q5398426
Q1306092	Q65943
Q1306396	Q11424
Q1306485	Q506240
Q1306518	Q5
Q1306712	Q5
Q1307814	Q2485448 Q163740
Q1308364	Q18127 Q2608849
Q1308570	Q1936384
Q1308849	Q5
Q1309851	Q206361 Q6881511 Q4830453
Q1309970	Q5
Q1310610	Q3231690
Q1310633	Q5
Q1311179	Q11173
Q1311333	Q2703920
Q1311350	Q1002697
Q1311992	Q11620651 Q1078765
Q1312086	Q5
Q1312312	Q5
Q1312586	Q4830453 Q192283
Q1313163	Q38723
Q1314509	Q63952888 Q21198342
Q1314632	Q9135
Q1315213	Q749622
Q1315297	Q235557
Q1315638	Q4830453
Q1315984	Q5
Q1316155	Q4022
Q1316535	Q5
Q1317078	Q210167
Q1317383	Q8502
Q1317534	Q3399646
Q1317552	Q4822264 Q2625877
Q1317609	
Q1317831	Q211101
Q1318257	
Q1318400	Q11032
Q1318776	Q177911 Q12140 Q11173
Q1318857	Q3539870
Q1318927	Q2485448
Q1319237	Q5
Q1319274	Q11424
Q1319437	Q5
Q1319610	Q561068 Q1616075
Q1319846	Q5
Q1320232	Q23002054 Q3918
Q1320403	Q61298024
Q1320678	Q5
Q1320703	Q5
Q1320918	Q5
Q1321160	Q5
Q1321507	Q5
Q1321598	Q5
Q1321739	Q5
Q1321874	Q24699794
Q1321910	Q5
Q1321958	Q10260870
Q1321978	Q6486741 Q30028999
Q1322229	Q11514315 Q2915955
Q1322289	Q45400320 Q15974764
Q1322403	Q383092 Q33506 Q1966910
Q1322592	
Q1323002	Q12136
Q1323100	Q5
Q1323122	Q56061
Q1323171	Q190928
Q1323312	Q5
Q1323442	
Q1323652	Q5
Q1323653	Q215380
Q1323689	Q220505
Q1323755	Q1248784 Q644371
Q1323789	
Q1323919	Q167170 Q27020041
Q1324018	Q3231690
Q1324024	Q5
Q1324043	Q1110794
Q1324151	Q11032
Q1324290	Q4508
Q1324321	Q1110794
Q1324381	Q1110794
Q1324461	Q3231690
Q1324530	Q8502
Q1324608	Q22266709
Q1324712	Q18127
Q1324772	Q3231690
Q1325014	Q5
Q1325279	Q220505
Q1325374	Q5
Q1325546	Q5
Q1326420	Q7397
Q1326522	Q215380
Q1326659	Q592312
Q1326742	Q50068795
Q1327411	Q7725634
Q1327570	Q18663579
Q1327589	Q2065736 Q728937
Q1327765	Q215380
Q1327964	Q5
Q1327973	Q215380
Q1328050	Q20741022
Q1328508	
Q1328650	Q5
Q1328764	Q5
Q1328962	Q3231690 Q673687
Q1328980	Q5
Q1328995	
Q1329058	Q5
Q1329244	Q3231690 Q850270
Q1329275	Q5
Q1329310	Q5
Q1329611	Q5
Q1329642	Q160047 Q728937
Q1329680	Q25403900
Q1329748	Q5
Q1329873	Q41298
Q1330429	Q25379
Q1330456	Q482994
Q1331169	Q134556
Q1331414	Q41298
Q1331431	Q215380
Q1331947	Q5
Q1331998	Q16323605
Q1332044	Q3231690
Q1332070	Q5
Q1332142	Q215380
Q1332402	Q5
Q1332546	Q40056 Q54277
Q1332599	Q5
Q1332829	Q1248784 Q695850 Q644371
Q1332885	Q5
Q1332967	
Q1333067	Q41298
Q1333281	Q5
Q1333406	Q140
Q1333442	Q181348 Q1210334
Q1333514	Q5
Q1333796	Q3231690
Q1333903	Q749622
Q1334309	Q5
Q1334431	Q4830453
Q1334825	Q8502
Q1335293	Q5
Q1335295	Q5
Q1335873	Q5
Q1336157	Q5
Q1336179	Q5
Q1336512	Q5
Q1336559	Q46970
Q1337021	Q27787439
Q1337587	Q383092 Q875538
Q1337719	Q1248784
Q1337785	Q641226
Q1337810	Q5
Q1337903	Q5
Q1337909	Q5
Q1337990	Q209939
Q1338253	Q5
Q1338273	Q5
Q1338286	Q5
Q1338466	Q3231690
Q1338470	Q11424
Q1338582	Q82117 Q839954
Q1338684	Q169872
Q1338890	Q34442
Q1339055	Q4830453
Q1339146	
Q1339239	Q5
Q1339242	Q4164871
Q1339344	Q5
Q1339625	Q5
Q1340107	Q180684
Q1340186	Q1758690
Q1340204	Q2001305 Q561068 Q1616075
Q1340213	Q5
Q1340262	Q184644 Q3918
Q1340699	Q5
Q1341130	Q494511
Q1341143	Q3231690
Q1341481	Q5
Q1341483	Q19723451 Q19723444
Q1341491	Q5
Q1341807	Q7889
Q1341985	Q815679 Q3231690
Q1342033	Q5
Q1342266	Q7247856 Q11255 Q7397
Q1342708	Q3231690
Q1342847	Q4022
Q1342914	Q1136601 Q1006876
Q1343042	Q5
Q1343174	Q5
Q1343185	Q5
Q1343537	Q5
Q1343721	Q5
Q1343802	Q7157512
Q1343889	Q9135
Q1344131	Q9212979 Q5741069
Q1344139	Q5
Q1344400	Q911663 Q428759
Q1344448	Q15056995
Q1344583	Q5
Q1344688	Q5
Q1345090	Q2416723
Q1345201	Q5
Q1345361	Q1248784 Q644371
Q1345371	Q5
Q1345419	Q42486
Q1345514	Q5
Q1345528	Q15275719
Q1345785	Q1248784 Q644371
Q1345909	Q23442
Q1346309	Q5
Q1346375	Q5
Q1346570	Q215380
Q1346713	Q5
Q1346719	Q482994
Q1346769	Q5
Q1346961	Q5398426
Q1347004	Q3231690
Q1347028	
Q1347033	Q11303 Q133215 Q27686
Q1347072	Q5
Q1347095	Q5
Q1347161	Q5398426
Q1347403	Q11422536
Q1347430	Q1259759 Q5398426
Q1347504	Q1054813 Q1059478
Q1347695	Q5
Q1347862	Q5
Q1347919	Q5
Q1348100	Q15303456 Q1154710
Q1348188	Q911663 Q537127 Q12042110 Q158555
Q1348288	Q5
Q1348483	Q5
Q1348589	
Q1348665	Q5
Q1348677	Q15303456 Q1154710
Q1348730	Q57598 Q1401522
Q1348969	Q5
Q1349024	Q16521
Q1349042	Q5
Q1349079	Q5
Q1349286	Q5
Q1349289	Q5
Q1349428	Q5
Q1349459	Q5
Q1349634	Q5398426
Q1349735	Q4830453
Q1349890	Q5
Q1349910	Q5
Q1349922	Q5
Q1349949	Q5
Q1349954	Q5
Q1350145	
Q1350234	Q5
Q1350475	Q5
Q1350489	Q5
Q1350492	Q5
Q1350694	Q484170
Q1350885	Q237338 Q63952888 Q642946 Q21198342
Q1351000	Q5
Q1351019	Q5
Q1351061	Q811979 Q31855
Q1351116	
Q1351201	Q5
Q1351211	Q5
Q1351239	Q5
Q1351316	Q5
Q1351317	Q875538
Q1351469	Q5
Q1351474	Q4022
Q1351662	Q5
Q1351687	Q5
Q1351700	Q5
Q1351719	Q5
Q1351738	Q5
Q1351768	Q17301072
Q1352355	Q5
Q1352371	Q5
Q1352701	Q5
Q1352771	Q543654
Q1352813	Q5
Q1352997	Q215380
Q1353252	Q5
Q1353305	Q3231690
Q1353311	Q5
Q1353337	Q3231690
Q1353524	Q7278
Q1353651	Q5
Q1353687	Q483110
Q1354027	Q5
Q1354117	Q5
Q1354283	Q5
Q1354667	Q56395672 Q1092939
Q1355042	Q637846
Q1355043	Q4164871
Q1355052	Q1110794
Q1355095	Q5
Q1355219	Q5
Q1355246	Q5
Q1355279	Q5
Q1355658	Q5
Q1355746	Q5
Q1355779	Q3231690
Q1355823	Q6881511 Q4830453
Q1355850	Q7889
Q1356396	Q5
Q1356575	Q5
Q1356824	Q5
Q1356880	Q5
Q1356888	Q5
Q1356911	Q5
Q1356978	Q5
Q1357107	Q1149652
Q1357523	Q215380
Q1357677	Q8346700 Q3918
Q1357729	Q5
Q1357746	Q5
Q1357944	Q5398426
Q1358259	Q5
Q1358390	Q5
Q1358734	Q7058673
Q1358831	Q3231690
Q1358836	Q7188 Q19953632
Q1358852	Q5
Q1359610	Q5
Q1359659	Q3231690
Q1360071	Q23866334
Q1360213	Q4697624
Q1360255	Q5
Q1360303	Q45400320 Q615150 Q23002039 Q3918
Q1360707	Q5
Q1360784	Q5741069
Q1360881	Q3231690
Q1360944	Q3231690
Q1361073	Q5
Q1361078	Q5
Q1361099	Q3231690
Q1361124	Q581714
Q1361183	Q5
Q1361190	Q482994
Q1361239	Q5
Q1361270	Q5
Q1361289	
Q1361304	Q5
Q1361333	Q5
Q1361397	Q5
Q1361462	Q5
Q1361483	Q5
Q1361606	Q5
Q1361741	Q6460735
Q1361977	Q5
Q1362095	Q870898
Q1362106	Q5
Q1362127	Q2338524
Q1362216	Q4164871
Q1362259	Q5
Q1362287	Q5
Q1362317	Q5
Q1362323	
Q1362405	
Q1362509	Q5151487
Q1362517	Q4022
Q1362985	Q5
Q1363442	Q756102
Q1363572	Q5
Q1363597	Q5
Q1363653	Q5
Q1363733	Q35127
Q1363852	Q5
Q1364074	Q5
Q1364122	Q5
Q1364147	Q5
Q1364266	Q5
Q1364522	Q2072238
Q1364541	Q1002812
Q1364567	Q5
Q1364657	Q215380
Q1364934	
Q1365046	Q2072238
Q1365099	Q1248784 Q644371
Q1365236	Q2401485
Q1365551	Q5
Q1365582	Q5
Q1365880	Q5
Q1365924	
Q1366053	Q3231690
Q1366303	Q5
Q1366506	Q5
Q1366507	Q192532
Q1366556	Q5
Q1366623	Q5
Q1366957	Q5
Q1367166	Q5
Q1367272	Q5
Q1367289	Q5
Q1367294	Q11424
Q1367532	Q5
Q1367610	Q6368
Q1367622	Q6368
Q1367623	Q5
Q1367800	Q5
Q1368003	Q2039348
Q1368276	Q5
Q1368292	Q5
Q1368345	Q5
Q1368351	Q5
Q1368362	Q5
Q1368483	Q34442
Q1368522	Q5
Q1368540	Q1762059 Q375336
Q1368609	Q4830453
Q1368641	Q5
Q1368799	Q5
Q1368849	Q5
Q1369094	Q7725634
Q1369318	
Q1369818	Q5
Q1369966	Q5
Q1369995	Q167170
Q1370107	Q167170
Q1370122	Q167170
Q1370358	Q5
Q1370482	Q294414
Q1370704	Q13741
Q1371025	
Q1371315	Q5
Q1371384	Q5
Q1371704	Q1665984
Q1371798	Q5
Q1371996	
Q1372236	Q5
Q1372688	Q5
Q1372747	Q5
Q1372805	Q5
Q1372842	Q5
Q1372938	Q5
Q1373238	Q1248784
Q1373304	Q5
Q1373408	Q5
Q1373466	
Q1373633	Q5
Q1373674	Q5
Q1373794	Q15411644
Q1373848	Q5
Q1374066	Q5
Q1374127	Q5
Q1374297	Q6881511 Q4830453
Q1374443	Q2001676 Q178561
Q1374482	Q11422 Q56682555
Q1374708	Q5
Q1374725	Q5
Q1374901	Q1762059
Q1374916	Q5
Q1375037	Q15127012 Q486972
Q1375067	Q5
Q1375119	Q5
Q1375247	Q5
Q1375341	Q5
Q1375363	Q5
Q1375409	Q15411644
Q1375442	Q277759
Q1375532	Q5
Q1375571	Q5
Q1375630	Q5
Q1375676	Q5
Q1375809	Q5
Q1375977	Q5
Q1376060	Q47461344 Q193955
Q1376180	Q5
Q1376351	Q5
Q1376897	Q5633421
Q1377134	Q5
Q1377135	Q249556 Q10438042
Q1377163	
Q1377219	Q3231690
Q1377570	
Q1377941	Q5
Q1378173	Q131569
Q1378270	Q178561
Q1378325	Q5
Q1378336	Q5
Q1378383	Q5
Q1378752	Q5
Q1378879	Q5
Q1378908	Q5
Q1379003	Q5
Q1379239	Q5
Q1379497	Q5
Q1379615	Q5
Q1379752	Q5
Q1379906	Q2085381
Q1380200	Q5
Q1380238	Q5
Q1380484	Q15063611
Q1380511	Q1093829
Q1381348	Q5
Q1381379	Q5
Q1381554	Q5
Q1381883	Q5398426
Q1381981	Q5
Q1382081	Q5
Q1382222	Q5
Q1382316	Q5
Q1382368	Q5
Q1382444	Q5
Q1382473	Q4830453
Q1382570	Q5
Q1382617	Q4389092
Q1382707	Q5
Q1382787	Q5
Q1383046	Q5
Q1383477	Q5
Q1383590	Q5
Q1383662	Q5
Q1383884	Q5
Q1383923	Q5
Q1384104	Q188860 Q341
Q1384613	Q5
Q1384656	Q172754
Q1384857	Q5
Q1384874	Q11303 Q1137809 Q543654
Q1384903	Q5
Q1384975	Q5
Q1385325	Q5
Q1385440	Q1320047 Q2085381
Q1385654	Q5
Q1385710	Q1154710
Q1385836	Q5
Q1385858	Q5
Q1385958	Q9135
Q1385980	Q5
Q1386101	Q5
Q1386268	Q5
Q1386535	Q5
Q1386945	Q7365 Q52193405
Q1386948	Q5
Q1386997	Q5
Q1387965	Q5
Q1388393	Q5
Q1388437	Q130003 Q484170
Q1388459	Q5
Q1388488	Q5
Q1388612	Q46966
Q1388702	Q5
Q1388730	Q5
Q1388791	Q476028
Q1389012	Q5
Q1389044	Q215380
Q1389266	Q5
Q1389351	Q5
Q1389459	Q46966
Q1389497	Q5
Q1389508	Q1002697
Q1389575	Q377688
Q1389591	Q618123
Q1389604	Q1269299
Q1389914	Q93352
Q1389927	Q46966
Q1389931	Q5
Q1389935	Q82794
Q1390040	Q5
Q1390043	Q5398426 Q15416
Q1390176	Q5
Q1390611	Q5
Q1390684	Q5
Q1390873	Q5
Q1391091	Q5
Q1391255	Q5
Q1391329	Q5
Q1391435	Q5
Q1391460	Q5
Q1391764	Q5
Q1391772	Q5
Q1391966	Q178561
Q1391980	Q5
Q1392121	Q5
Q1392321	Q18127
Q1392427	Q15891112 Q2570643
Q1392586	Q5
Q1392592	
Q1393060	Q1279564
Q1393093	Q5
Q1393101	Q15056993
Q1393122	Q15056993
Q1393182	Q5
Q1393218	Q6881511 Q20746571 Q1331793
Q1393228	Q5
Q1393337	Q581714 Q506240
Q1393388	Q5
Q1393399	Q5
Q1393443	Q5
Q1393455	Q5
Q1393498	Q5
Q1393571	Q15715406
Q1393667	Q215380
Q1393679	Q5
Q1393825	Q5
Q1393912	Q5
Q1393988	Q543654
Q1394376	Q5
Q1394532	Q11707
Q1394697	Q5
Q1394721	Q5
Q1394779	Q3231690
Q1394787	Q5
Q1394979	Q2305295
Q1395417	Q5
Q1395668	Q5
Q1396359	Q5
Q1396795	Q5
Q1396889	Q47461344
Q1397162	Q5
Q1397207	Q5
Q1397864	Q5
Q1397888	Q5
Q1397914	Q18127
Q1398233	Q2221906
Q1398751	Q5
Q1398872	Q1248784 Q644371
Q1398892	Q5
Q1398957	Q5
Q1399009	Q5
Q1399133	Q5
Q1399162	Q7278
Q1399599	Q5
Q1399605	Q5
Q1399906	Q5
Q1400040	Q5
Q1400216	Q33384
Q1400775	Q5398426
Q1400823	Q3231690
Q1402078	Q1323212
Q1402888	Q3231690
Q1402980	Q4164871
Q1403042	Q11424
Q1403458	Q5
Q1403491	Q5
Q1403997	Q5
Q1404752	Q23442
Q1405138	Q3231690
Q1405858	Q5
Q1406503	Q5
Q1406658	Q3907564
Q1407615	Q3231690
Q1407994	Q6881511 Q4830453
Q1408342	Q5
Q1408552	Q220505
Q1408760	Q15891112 Q2570643
Q1408937	
Q1408991	Q7889
Q1409043	Q7889
Q1409731	Q5
Q1410131	Q3231690
Q1410317	Q55488
Q1410343	Q18618819
Q1410391	Q5
Q1410426	Q3231690
Q1410448	Q3231690
Q1410475	Q3231690
Q1410544	Q3231690
Q1410581	Q5
Q1410639	Q3231690
Q1410997	Q1110794
Q1411001	Q5
Q1411012	Q5
Q1411187	Q5
Q1411309	Q5
Q1411581	Q5
Q1411665	Q40056 Q4672467
Q1411784	Q82794
Q1411882	Q2351962 Q218616
Q1412106	Q167270
Q1412427	Q8502
Q1412461	Q1047113
Q1412583	Q5
Q1412814	Q15891112 Q2570643
Q1412968	Q6881511 Q4830453
Q1412977	Q15989253
Q1413317	Q16335296 Q192581 Q43109919
Q1413570	Q11639 Q188451
Q1413846	Q8502
Q1414111	Q875157
Q1414168	Q482994
Q1414262	Q617028
Q1414326	Q380093
Q1414659	Q220505
Q1414692	Q220505
Q1414839	Q5398426
Q1414887	
Q1415029	Q11424
Q1415139	Q18608583
Q1415289	Q5398426
Q1415342	Q7603882
Q1415585	Q3024240
Q1415704	Q482994
Q1415815	Q3231690
Q1415847	Q37002670
Q1415967	Q483110
Q1416079	Q5
Q1416177	Q150093
Q1416814	Q43229
Q1417053	Q2270606
Q1417134	Q56655111
Q1417183	Q476028
Q1417240	Q12136
Q1417349	Q1344
Q1417704	Q215380
Q1417715	Q3231690
Q1418248	Q5398426
Q1418426	Q637846
Q1418510	Q5
Q1418667	
Q1419007	Q3231690
Q1419468	Q1344
Q1419574	Q19698023 Q84582639
Q1419579	Q8514
Q1419644	Q5398426
Q1419938	Q131647 Q11448906
Q1420222	Q644371
Q1420322	Q2529166
Q1420449	Q23866334
Q1420672	Q1048525 Q847017 Q2022036
Q1421211	Q60680430
Q1421260	Q134830 Q82799
Q1421504	Q1248784 Q644371
Q1421518	Q134556
Q1421661	Q3231690
Q1421690	Q15056995
Q1421703	Q958314 Q1357585
Q1421730	
Q1421753	Q4022
Q1422037	Q82794
Q1422517	Q7278
Q1422550	Q8502
Q1422588	
Q1422815	Q875600 Q3231690
Q1422980	Q5
Q1423130	Q23866334
Q1423218	Q6881511 Q4830453
Q1423234	Q5
Q1423485	Q11424
Q1423546	
Q1423559	Q15416
Q1423593	Q215380
Q1423726	Q431289 Q4830453
Q1423906	Q1255828
Q1424081	Q875538 Q45400320
Q1424288	Q23866334
Q1424346	Q16481820
Q1424419	Q3231690
Q1424576	Q215380
Q1424582	Q3231690
Q1424622	Q1076547
Q1424632	Q875538
Q1424733	
Q1425262	Q9212979
Q1425298	Q1136601 Q1006876
Q1425322	Q86622
Q1425428	Q1549591 Q56061 Q515
Q1425566	Q1248784 Q644371
Q1425651	Q618123 Q131681
Q1425658	Q178561
Q1426122	Q9135
Q1426177	Q134556
Q1426327	
Q1426408	Q3231690
Q1426415	Q3231690
Q1426666	Q7094097 Q8366
Q1426755	Q5398426
Q1426945	Q215380
Q1426993	Q5
Q1427050	Q5
Q1427084	Q220505
Q1427237	
Q1427258	
Q1427385	Q11032
Q1428197	Q3231690
Q1428441	Q47461344 Q5398426
Q1428445	Q5
Q1428455	Q11424
Q1428488	Q1088552 Q64578911
Q1428632	
Q1428793	Q270791 Q936518
Q1429114	Q11424
Q1429140	
Q1429298	Q788046
Q1429343	Q5
Q1429350	Q811979
Q1429430	Q209939
Q1429506	Q41298
Q1430301	
Q1430745	Q1248784 Q644371
Q1430816	Q930752
Q1430887	Q3231690
Q1430943	Q294414
Q1430971	Q1248784
Q1431020	
Q1431026	Q8187769 Q102786
Q1431133	Q1248784
Q1431173	Q1248784
Q1431204	Q1248784 Q644371
Q1431295	Q1248784 Q644371
Q1431344	Q1248784
Q1431383	Q1248784
Q1431444	Q1248784 Q644371
Q1431553	Q1248784
Q1431637	Q1248784
Q1431809	Q695850 Q644371
Q1431888	Q1248784
Q1431928	Q644371
Q1431935	Q1248784
Q1431985	Q1248784
Q1432029	Q1248784 Q644371
Q1432130	Q5
Q1432151	Q1248784
Q1432399	Q1248784
Q1432457	Q1248784
Q1432525	Q1248784 Q644371
Q1432527	Q215380
Q1432538	Q5
Q1432908	Q131263
Q1432971	Q5
Q1433087	Q1248784
Q1433158	Q740752 Q10438042
Q1433169	Q215380
Q1433309	Q1248784
Q1433417	Q7397 Q35127
Q1433621	Q215380
Q1433867	Q3024240
Q1434347	Q16917
Q1434404	Q1667921
Q1434524	Q506240
Q1434915	Q618779
Q1435156	Q131569
Q1435287	Q5
Q1435496	Q476028
Q1435950	Q6881511 Q18043413
Q1436012	Q2485448
Q1436139	Q56871091
Q1436314	Q23866334
Q1436646	Q4830453
Q1436806	Q12757
Q1436921	Q6881511 Q4830453
Q1437231	Q2936646
Q1437304	Q5
Q1437356	Q476028
Q1439197	Q5
Q1439427	Q30304302 Q893775
Q1439865	Q8502
Q1439893	Q5
Q1440421	Q334453
Q1440655	Q131212
Q1440757	Q41298
Q1440954	Q5393308
Q1440980	Q5
Q1441160	Q5
Q1441283	Q5
Q1441295	Q5
Q1441481	Q220505
Q1441544	Q5
Q1441811	Q5
Q1442139	Q2001305
Q1442809	Q1154710
Q1442854	Q5
Q1443013	Q5
Q1443042	Q5
Q1443487	Q4830453
Q1443547	Q5
Q1443654	Q134556
Q1443727	Q5
Q1444271	Q5
Q1444305	Q5
Q1444339	Q5
Q1444543	Q18608569 Q2145277
Q1445155	Q5
Q1445724	Q5
Q1445903	Q39594
Q1445942	Q7366 Q207628
Q1446181	Q23002039 Q3918
Q1446208	Q41298 Q1002697
Q1446674	Q5
Q1446836	Q3231690
Q1449375	
Q1449685	Q482994
Q1449946	Q269949
Q1450486	Q5
Q1450662	Q35798
Q1450786	Q16970
Q1451348	Q5
Q1451353	Q155271
Q1451964	Q5
Q1452355	Q5
Q1452552	Q5
Q1452666	Q1279564
Q1452713	Q5
Q1452775	Q5
Q1452782	Q5
Q1452908	Q5
Q1453295	Q18127 Q2442401
Q1453302	Q5
Q1453320	Q5
Q1453797	Q11424
Q1454510	Q5
Q1454572	Q5
Q1454574	Q11424
Q1454986	
Q1455265	Q123705
Q1455872	Q174989
Q1456206	Q30304302 Q1132998
Q1457886	Q2387974
Q1458248	Q215380
Q1458570	Q1219394
Q1459255	Q482994
Q1459405	Q215380
Q1459541	Q1148446 Q43229 Q327333
Q1459674	Q5
Q1459964	Q1051067
Q1461290	Q484170
Q1461465	Q641226
Q1462910	Q1428357
Q1463309	Q5
Q1463318	Q5
Q1463541	
Q1463929	Q641226 Q41176 Q210272
Q1464617	Q7889
Q1465440	Q5
Q1465524	Q4830453
Q1465812	Q18127 Q2608849
Q1465852	Q5398426
Q1465915	Q3231690
Q1466744	Q11424
Q1467393	Q3231690
Q1467740	Q33829 Q28790362
Q1468193	Q3231690
Q1468221	Q3231690
Q1468713	
Q1468793	Q1770249
Q1469032	Q5
Q1469058	Q1344
Q1469153	Q294414
Q1469434	Q2485448 Q163740
Q1469460	Q5
Q1469495	Q192611
Q1469808	Q749622
Q1469973	Q15087423 Q356674
Q1470005	Q7058673
Q1470212	Q4818021
Q1470320	Q1320047 Q2085381 Q4830453
Q1470765	Q5
Q1470828	Q208569
Q1470870	Q4830453
Q1470912	Q207694
Q1471502	Q46831 Q17016923
Q1472152	Q1570591
Q1472350	Q215380
Q1472399	
Q1472481	
Q1472650	Q1197685
Q1472759	Q215380
Q1472994	Q5
Q1473120	Q15056995
Q1473329	Q5
Q1473422	Q746549
Q1473449	Q369330
Q1473844	Q868557
Q1473891	Q47461344
Q1473957	Q1149652
Q1474026	Q4022
Q1474105	Q23002039 Q3918
Q1474323	Q4022 Q355304
Q1474484	Q7278
Q1474490	Q7278
Q1474872	Q178512 Q4931513
Q1475036	Q41298
Q1475056	Q1478443 Q163740
Q1475112	Q207320
Q1475124	Q5
Q1475188	Q3231690
Q1475200	Q4022
Q1475275	Q11424
Q1475327	Q5
Q1475410	Q3231690
Q1475939	Q41298
Q1475987	Q131681
Q1476157	Q3231690
Q1476165	Q294414
Q1476610	Q2232001 Q271669
Q1476754	Q3918
Q1476923	Q5
Q1477606	Q5
Q1477871	Q4830453
Q1478849	Q8072 Q8502
Q1478918	Q6881511 Q4830453
Q1479090	Q13393265
Q1479319	Q23442
Q1479804	Q134808 Q17028492
Q1479952	Q164950 Q3024240
Q1480095	Q3231690
Q1480166	Q57655236
Q1480406	Q5741069
Q1480806	Q11424
Q1480985	Q476028
Q1481464	Q3231690
Q1481974	Q81054
Q1482013	Q23413
Q1482369	Q3199915
Q1483337	Q1149652
Q1483444	Q3231690
Q1484093	Q237338 Q21198342
Q1484880	Q2154459
Q1484980	Q192283 Q6881511 Q4830453
Q1485130	Q2485448 Q163740
Q1485141	Q1787111
Q1486288	Q81989119 Q1194970
Q1487392	Q161387 Q486972
Q1488700	Q82117 Q12518 Q33506
Q1489034	Q5398426
Q1489655	Q5
Q1490797	
Q1491011	Q5
Q1491039	Q5
Q1491417	Q3284499
Q1491600	Q4022
Q1491731	Q875538 Q45400320
Q1491825	Q5
Q1492058	Q23442
Q1492249	Q2867136 Q1153777
Q1492998	Q215380
Q1494373	Q5
Q1494453	Q15891112 Q2570643
Q1494527	Q18608569
Q1494534	Q15891112 Q2570643
Q1494541	Q15891112 Q2570643
Q1494554	Q15891112 Q2570643
Q1494573	Q15891112 Q2570643
Q1494581	Q18608569 Q2145277
Q1494590	Q18608569 Q2145277
Q1494600	Q15891112 Q2570643
Q1494656	Q15891112 Q2570643
Q1494665	Q15891112 Q2570643
Q1494716	Q18608569 Q2145277
Q1494790	Q15891112 Q2570643
