Q15	Q5107
Q991815	Q5
Q992087	Q1093829
Q992240	Q17468533 Q856076
Q992247	Q515
Q992356	Q17468533 Q856076 Q3735314
Q992460	Q23691
Q992478	Q5153359
Q992830	Q23002054 Q3918
Q992898	Q856076
Q992983	Q28122896
Q993039	Q5
Q993058	Q856076
Q993066	Q18127
Q993076	Q515 Q902814
Q993422	Q1093829
Q993714	Q14762300 Q3957
Q993721	Q515
Q993809	Q3957
Q993859	Q515
Q993880	Q484170
Q994003	Q210167
Q994125	Q1780506
Q994144	Q76514543 Q1093829
Q994217	Q515
Q994271	Q515 Q15334 Q3957
Q994312	Q515
Q994369	Q5
Q994452	Q1093829
Q994465	Q1093829
Q994711	Q484170
Q994723	Q1709894
Q994811	Q476028
Q994885	Q5
Q994925	Q3957
Q994927	Q12813115
Q995006	Q15127012
Q995019	Q5
Q995148	Q484170
Q995152	Q5123999
Q995174	Q22746
Q995231	Q1093829
Q995265	Q23002054 Q3660535 Q3918
Q995343	Q5
Q995530	Q7889
Q995577	Q22704163 Q183302
Q995695	Q515 Q1549591
Q996036	Q1093829
Q996541	Q839954 Q167346 Q109607
Q996556	Q15127012
Q996600	Q7543008 Q3957
Q996610	Q189445 Q37002670 Q3270264
Q996839	
Q997069	Q63241909 Q515 Q1549591
Q997443	Q5
Q997512	Q7930989 Q12131640
Q997617	Q4830453
Q998257	Q4830453
Q998386	Q2566190
Q998476	Q15334 Q515
Q998813	Q515
Q998913	Q5
Q998961	Q3257686
Q999156	Q788104
Q999210	Q856076
Q999249	Q856076
Q999255	Q856076
Q999384	Q15334 Q515
Q999442	Q484170
Q999529	Q5
Q999589	Q328584
Q999654	Q3957
Q999798	Q3744870
Q999855	Q856076
Q999868	Q856076
Q1000001	Q482994
Q1000020	Q14645593
Q1000029	Q5153359 Q15978299 Q7841907
Q1000062	Q486972 Q18663566
Q1000109	Q856076
Q1000119	Q17468533 Q856076
Q1000121	Q856076
Q1000222	Q902814 Q1093829
Q1000321	Q16970 Q1564373
Q1000333	Q515
Q1000346	Q515
Q1000353	Q13025342
Q1000366	Q5
Q1000495	Q6936225 Q515
Q1000498	Q5
Q1000511	Q486972
Q1000679	Q1115575 Q3957
Q1001056	Q3957
Q1001166	Q5
Q1001326	Q2616791
Q1001384	Q1449648
Q1001742	Q1093829
Q1001761	Q856076
Q1001862	Q50198
Q1001863	Q11424
Q1001864	Q1110794
Q1001882	Q2198484 Q7688
Q1001927	Q515 Q856076 Q3957
Q1001932	Q856076
Q1001942	Q1115575 Q1357964
Q1001948	Q12308941
Q1002035	Q515
Q1002100	Q11424
Q1002162	Q17468533 Q856076
Q1002201	Q5
Q1002250	Q5
Q1002304	Q85477
Q1002363	Q3231690 Q850270
Q1002465	Q18127
Q1002499	Q17468533 Q856076
Q1002571	Q15078955 Q192287 Q21130185
Q1002615	Q3957
Q1002641	Q15221373 Q62049
Q1002843	Q3231690
Q1002896	Q484170
Q1002926	Q15127012
Q1003260	Q12813115
Q1003318	Q515
Q1003358	Q5153359
Q1003636	Q1093829
Q1003693	Q1093829
Q1003715	Q62049 Q15221373
Q1003760	Q2305295
Q1003789	Q4830453
Q1003849	Q27020041
Q1004157	Q532
Q1004200	Q532
Q1004225	Q1093829
Q1004293	Q15079663
Q1004305	Q11448906
Q1004330	Q5
Q1004712	Q2974552
Q1005049	Q856076
Q1005129	Q856076
Q1005252	Q3558970
Q1005354	Q70106635 Q18536594
Q1005356	Q15334 Q515
Q1005403	Q515 Q15334
Q1005445	Q18536594
Q1005447	Q18536594
Q1005452	Q18536594
Q1005472	Q515 Q15334
Q1006076	Q748331
Q1006137	Q515
Q1006179	Q62049 Q15221373
Q1006270	Q486972
Q1006289	Q486972
Q1006303	Q486972
Q1006343	Q515 Q1549591
Q1006398	Q294414
Q1006696	Q4164871
Q1006764	Q3558970
Q1006824	Q3558970
Q1006978	Q561068 Q5009242
Q1007064	Q1093829
Q1007093	Q1115575 Q3957
Q1007134	Q902814 Q1852859
Q1007164	
Q1007182	Q18487055
Q1007226	Q484170
Q1007272	Q209824
Q1007289	Q771444 Q192287
Q1007509	Q15210668 Q3957
Q1008489	Q5741069
Q1008544	Q18551781
Q1008802	Q55430416 Q6644696
Q1008836	Q2154459
Q1008863	Q215380
Q1009095	Q5153359 Q15978299 Q7841907
Q1009103	Q856076
Q1009109	Q856076
Q1009118	Q856076
Q1009124	Q856076
Q1009127	Q856076
Q1009142	Q856076
Q1009199	Q515
Q1009215	Q856076
Q1009298	Q1115575 Q3957
Q1009316	Q3957
Q1009345	Q856076
Q1009347	Q856076
Q1009353	Q28122896
Q1009417	Q484170
Q1009506	Q5
Q1009604	Q17468533 Q856076
Q1009607	Q856076
Q1009622	Q856076
Q1009634	Q856076
Q1009669	Q532
Q1009703	Q3957
Q1009719	Q5
Q1009804	Q15068900
Q1009915	Q3957
Q1009926	Q484170 Q21869758
Q1010042	Q856076
Q1010117	Q658255
Q1010176	Q3257686 Q1131296
Q1010190	Q215380
Q1010199	Q1093829
Q1010203	Q1093829
Q1010232	Q777120
Q1010244	Q777120
Q1010307	Q11513034
Q1010494	Q856076
Q1010550	Q515 Q856076
Q1010556	Q20857065
Q1010562	Q3957
Q1010630	Q12813115
Q1011342	Q486972
Q1011524	Q62049 Q1093829
Q1011547	Q618779
Q1011603	Q7543008 Q3957
Q1011674	Q12813115
Q1011677	Q7543008 Q3957
Q1011982	Q3558970 Q486972
Q1012019	Q3957
Q1012054	Q7543008 Q3957
Q1012064	Q1059478 Q1054813
Q1012089	Q15411644
Q1012251	Q375336 Q1762059
Q1012367	Q1093829
Q1012397	Q2154459
Q1012434	Q15141632
Q1012440	Q902814 Q13025342
Q1012490	Q7543008 Q3957
Q1012550	Q3184121
Q1012668	Q498162
Q1012699	Q23002054 Q3918
Q1012806	Q498162
Q1012813	Q12813115
Q1012900	Q5
Q1012971	Q498162
Q1013228	Q2911266
Q1013261	Q2911266
Q1013379	Q515
Q1013421	Q3957
Q1013428	Q515
Q1013537	Q2225692
Q1013549	Q62049 Q1093829
Q1013556	Q515
Q1013664	Q15221373 Q62049
Q1013700	Q62049 Q15221370
Q1013733	Q486972
Q1013757	Q532
Q1014017	Q498162
Q1014202	Q484170 Q21869758
Q1014206	Q3957
Q1014221	Q486972 Q902814
Q1014461	Q515
Q1014580	Q902814 Q3957
Q1014621	Q7889 Q21125433
Q1014795	Q484170
Q1014800	Q484170
Q1014934	Q1115575 Q3957
Q1015056	Q486972
Q1016159	Q21010817
Q1016171	Q484170
Q1016590	Q15127012
Q1016633	Q1093829
Q1016712	Q12813115
Q1016738	Q7543008 Q3957
Q1016801	Q18127
Q1016838	Q7889
Q1016871	Q482994
Q1016922	Q515 Q856076 Q3957
Q1016925	Q7543008 Q3957
Q1016944	Q1968403 Q7543008
Q1016967	Q1154710
Q1016982	Q35127
Q1017062	Q4830453 Q6881511
Q1017078	Q133215 Q24354 Q875157 Q1378975
Q1017104	Q856076
Q1017111	Q17468533 Q856076
Q1017122	Q856076
Q1017127	Q856076
Q1017129	Q515 Q856076 Q3957
Q1017131	Q856076
Q1017142	Q856076
Q1017148	Q856076
Q1017214	Q1093829
Q1017554	Q515 Q1549591
Q1017576	Q1616075 Q561068 Q5001853
Q1017578	Q15221373
Q1017624	Q515
Q1017943	Q3957
Q1017974	Q23002054 Q902104
Q1018025	Q515
Q1018133	Q3957
Q1018137	Q1115575 Q532
Q1018153	Q719592
Q1018239	Q515
Q1018259	Q5
Q1018271	Q515
Q1018313	Q1093829
Q1018338	Q7889
Q1018362	Q55102916
Q1018405	Q28122896 Q26742250
Q1018448	Q3957
Q1018490	Q1115575 Q3957
Q1018501	Q515 Q1549591
Q1018780	Q37726
Q1018874	Q7543008 Q3957
Q1019101	Q12813115
Q1019160	Q1093829
Q1019252	Q1122588 Q506883
Q1019503	Q4022
Q1019560	Q12813115
Q1019575	Q12813115
Q1019607	Q263639
Q1019805	Q1093829
Q1019949	Q104157 Q1549591
Q1019997	Q15078955 Q192287
Q1020178	Q28122896 Q26742250
Q1020309	Q515 Q902814
Q1020341	Q751708
Q1020401	Q486972 Q1093829
Q1020649	Q515
Q1020677	Q5
Q1020698	Q5
Q1020709	Q104157 Q1549591
Q1020753	Q515 Q317548
Q1020939	Q104157 Q1549591
Q1020942	Q123705
Q1021031	Q1093829
Q1021164	Q3957
Q1021319	Q3957
Q1021563	Q7830213
Q1021588	Q15127012
Q1021624	Q1985797 Q19730508
Q1021686	
Q1021714	Q2911266
Q1022060	Q11424
Q1022186	Q5
Q1022190	Q4830453
Q1022192	Q1770971
Q1022231	Q5
Q1022295	Q486972
Q1022311	Q1254874 Q752106
Q1022366	Q1153191
Q1022375	Q5
Q1022503	Q12131640
Q1022562	Q484170
Q1022867	Q17444909
Q1022872	Q1093829
Q1022933	Q476028
Q1022955	Q1616075
Q1023048	Q1093829
Q1023069	Q215380
Q1023099	
Q1023163	Q476028
Q1023182	Q476028
Q1023191	Q476028
Q1023233	Q476028
Q1023249	Q4830453
Q1023254	Q3957
Q1023257	Q3957
Q1023481	Q76514543 Q1093829
Q1023655	Q1872284 Q515
Q1023734	Q210167
Q1023748	Q1049158
Q1023788	Q5
Q1023911	Q1616075 Q5001853
Q1023912	Q1616075 Q561068 Q5001853
Q1023953	Q3957
Q1023981	Q1872284
Q1024102	Q1115575 Q532
Q1024337	Q476028
Q1024426	Q23002039 Q15936437 Q875538
Q1024683	Q5
Q1024886	Q839954 Q17715832
Q1024888	Q486972
Q1024906	Q486972
Q1024911	Q2630741 Q3957
Q1025031	Q1070990
Q1025077	Q7889
Q1025106	Q18127
Q1025118	Q18127
Q1025166	Q3231690
Q1025186	Q4830453
Q1025187	Q3231690 Q850270
Q1025211	Q3231690
Q1025323	Q15334 Q515
Q1025387	Q104157
Q1025395	Q5
Q1025396	Q486972
Q1025399	Q486972
Q1025420	Q5
Q1025617	Q486972
Q1025649	Q3957
Q1025654	Q3957
Q1025656	Q1616075
Q1025663	Q1616075
Q1025700	Q856076
Q1025707	Q856076
Q1025714	Q856076
Q1025738	Q17468533 Q856076
Q1025744	Q856076
Q1025745	Q856076
Q1025748	Q856076 Q3957
Q1025881	Q532 Q192287
Q1025887	Q618779
Q1025912	Q41298
Q1025914	Q4830453 Q190928
Q1025916	Q7366 Q207628
Q1025919	Q2608849 Q18127
Q1025949	
Q1026008	Q1093829
Q1026089	Q188451
Q1026115	Q15836568
Q1026175	Q62049 Q1093829
Q1026281	Q515
Q1026304	Q1115575 Q3957
Q1026399	Q1070990
Q1026417	Q378427
Q1026448	Q1002812
Q1026464	Q1306755 Q15092344
Q1026497	Q902814 Q3957
Q1026652	Q215380
Q1026676	Q2983893
Q1026717	Q19885984
Q1026860	Q3284499 Q15243209
Q1026941	Q23002039 Q3918
Q1027105	Q1093829
Q1027118	Q2322432
Q1027127	Q748198 Q2755753 Q3957
Q1027150	Q486972
Q1027170	
Q1027200	Q215380
Q1027210	Q486972
Q1027286	Q3957
Q1027291	Q3957
Q1027472	Q4830453 Q6881511
Q1027561	Q1248784
Q1027589	Q208569
Q1027636	Q5
Q1027645	Q5
Q1027891	Q41254
Q1027922	Q618779
Q1027929	Q5
Q1028077	Q5
Q1028150	Q134556 Q7366
Q1028152	Q41298
Q1028267	Q188509
Q1028655	Q15127012
Q1028665	Q5
Q1028821	Q184188
Q1028899	Q5
Q1029135	Q18127
Q1029155	Q11424
Q1029174	Q1093829
Q1029180	Q22808403 Q22808404 Q928830
Q1029405	Q2990963
Q1029560	Q398141
Q1029583	Q20667187
Q1029631	Q190928
Q1029955	Q4164871
Q1030044	Q23002054 Q3918
Q1030249	Q178561
Q1030378	Q4504495
Q1030442	Q695850
Q1030544	Q4830453 Q6881511
Q1030646	Q1248784
Q1030862	Q5
Q1030922	Q507619 Q4830453 Q726870
Q1031025	Q5
Q1031028	Q581714
Q1031200	Q476028
Q1031445	Q2312410
Q1031649	Q4022
Q1031656	Q47461344
Q1031994	Q11448906
Q1032001	Q270791 Q4830453
Q1032062	Q182531
Q1032117	Q5
Q1032197	Q868557
Q1032368	Q63090850 Q2008856
Q1032473	Q1616075
Q1032531	Q55818
Q1032683	Q1906268
Q1033011	Q5
Q1033458	Q5398426
Q1033499	Q8502
Q1033692	Q23002039 Q189004
Q1033830	Q11424
Q1033868	Q11424
Q1033891	Q201658
Q1034439	Q941043
Q1034556	Q17374546
Q1035067	Q618779
Q1035471	Q515
Q1035547	Q1267632
Q1035599	Q1267632
Q1035617	Q1267632
Q1035752	Q1849126
Q1035800	Q2198484
Q1035944	Q5
Q1036073	Q860861 Q1232589
Q1036102	Q2198484
Q1036289	Q659563
Q1036845	Q4830453 Q6881511
Q1036915	Q841985
Q1036927	Q5
Q1037177	Q5
Q1037824	Q5
Q1037905	Q5
Q1037948	Q841985
Q1038200	Q5
Q1038267	Q849851
Q1038273	Q22808403 Q928830
Q1038494	Q22704163
Q1038979	Q5
Q1039432	Q18127
Q1039604	Q5
Q1040029	Q5
Q1040306	Q5
Q1040417	Q209939
Q1040450	Q210167
Q1040924	Q2738074
Q1041461	Q7889
Q1041527	Q5
Q1041671	Q23002054 Q1377182
Q1041737	Q45400320 Q33506 Q3918
Q1041788	Q28140340
Q1042124	Q5
Q1042264	Q5
Q1042342	Q134556 Q7366
Q1042365	Q7889
Q1042498	Q5
Q1042722	Q3918
Q1042835	Q5
Q1042848	Q5
Q1043104	Q11032 Q867242
Q1043128	Q23442
Q1043133	Q5
Q1043197	Q1914636
Q1043437	Q5
Q1043549	Q5
Q1043619	Q11879590 Q3409032
Q1043659	Q11424
Q1043671	Q5
Q1043827	Q5
Q1043850	Q839954
Q1043919	Q1934961
Q1043963	Q178706 Q163740
Q1043965	Q123705
Q1044050	Q39804
Q1044059	Q498289
Q1044072	Q659103
Q1044131	Q1048525 Q847017
Q1044225	Q515 Q2679157
Q1044425	Q476028 Q15944511
Q1044427	Q618779
Q1044551	Q21156425 Q15275719
Q1044563	Q210167
Q1044883	Q11424
Q1045344	Q210167
Q1045411	Q215380
Q1045528	Q18536594
Q1045758	Q4830453 Q6881511
Q1045827	Q215380
Q1045828	Q38723 Q3918
Q1045904	Q4164871
Q1046018	
Q1046090	Q5
Q1046329	Q15059108
Q1046574	Q7889
Q1046707	Q18127
Q1046742	Q4390543
Q1046788	Q42907216
Q1046939	Q476028
Q1047060	Q23002054 Q45400320 Q3918 Q209465
Q1047182	Q476028
Q1047366	Q18127
Q1047410	Q1762059 Q1107679
Q1047436	Q5
Q1047508	Q215380
Q1047701	Q811701
Q1047729	Q215380
Q1047730	Q84582639
Q1047829	Q10876391
Q1047918	Q14623646 Q14514600
Q1048023	Q28061975
Q1048147	Q14846918
Q1048192	Q7278
Q1048260	Q482994
Q1048295	
Q1048333	Q5
Q1048432	Q5
Q1048439	Q5741069
Q1048744	Q6501749 Q4164871
Q1048902	Q1151733
Q1048933	Q47345468 Q123577
Q1048948	Q47345468 Q123577
Q1048958	Q11424
Q1048987	Q215380
Q1049112	Q2198484
Q1049115	Q82794
Q1049176	Q6979593
Q1049433	Q482994
Q1049470	Q62078547 Q45400320
Q1049494	Q36534
Q1049502	Q210167 Q4830453 Q1137109 Q6881511
Q1049630	Q32096
Q1049659	Q4164871
Q1049785	Q11446
Q1049852	
Q1049877	Q482994
Q1050045	Q26132862
Q1050159	Q4830453 Q6881511
Q1050337	Q1107679
Q1050456	Q215380
Q1050542	Q1402592
Q1050571	Q1151733 Q28648649
Q1050687	Q28444913
Q1050720	Q11424
Q1050754	Q12308941
Q1051088	Q4164871 Q28640
Q1051164	Q476028
Q1051225	Q47461344
Q1051360	Q378508
Q1051514	Q476028
Q1051534	Q215380
Q1051538	Q210167
Q1051706	Q216337
Q1051720	Q15056995
Q1051735	Q188451
Q1051751	Q215380
Q1051812	Q482994
Q1051813	Q5
Q1051840	Q23002054 Q6540832
Q1051905	Q5
Q1051965	Q47461344
Q1052201	Q4164871
Q1052216	Q27971968
Q1052386	Q7889
Q1052549	Q34442
Q1052560	Q15221370
Q1052577	Q5
Q1052584	Q7278
Q1052703	Q14659
Q1053162	Q5
Q1053355	Q559026
Q1053416	Q215380
Q1053450	Q476028
Q1053550	Q1497364
Q1053608	Q215380
Q1053668	Q7278
Q1053789	Q15646524
Q1053796	Q55593624
Q1053925	Q3918
Q1053941	Q5398426
Q1053951	Q4830453
Q1053983	Q5398426
Q1054110	Q172754
Q1054325	Q4022
Q1054546	Q850450
Q1054574	Q201658
Q1054585	
Q1054591	Q6368
Q1054700	Q46970
Q1054711	Q190570
Q1054718	Q2057971 Q12136
Q1054754	Q210167
Q1054760	Q15416
Q1054765	Q2085381 Q1320047
Q1054799	Q294414 Q895526
Q1054834	Q482994
Q1054844	Q1137109
Q1054923	Q19953632 Q15379753 Q1351282
Q1054975	Q1261499 Q57598
Q1055028	
Q1055111	Q3305213
Q1055198	Q5
Q1055264	Q5
Q1055437	Q5
Q1055444	Q93249
Q1055449	Q5
Q1055636	Q5
Q1055770	
Q1055992	Q208569
Q1056069	Q7889
Q1056198	Q5
Q1056265	Q188914 Q378427
Q1056342	Q581714 Q1273568
Q1056486	Q25457532
Q1056589	Q1248784
Q1056637	Q4830453 Q6881511
Q1056712	Q5
Q1057137	Q15056995
Q1057199	Q265662 Q3918
Q1057258	Q5
Q1057263	Q15104814 Q3089219 Q12413618
Q1057292	Q41710
Q1057317	Q7889
Q1057464	Q1631129
Q1057732	Q11424
Q1057890	Q875538
Q1057954	
Q1057960	Q5741069
Q1058134	Q134556 Q7366
Q1058168	Q484170
Q1058344	Q644371
Q1058384	Q216353
Q1058465	Q174989
Q1058617	Q28640
Q1058775	Q17343829 Q123705
Q1058819	Q5
Q1058867	Q5
Q1058919	Q9319988
Q1059013	Q16970
Q1059098	Q786820
Q1059126	Q5
Q1059141	Q1049494
Q1059415	Q476028
Q1059517	Q2418495 Q3238833 Q269770 Q1713379
Q1059659	
Q1059668	Q5
Q1059839	Q7889
Q1059900	Q2092812
Q1059948	Q5
Q1059994	Q13406554
Q1060176	Q3231690 Q4830453
Q1060464	Q5
Q1060479	Q82794
Q1060551	Q841985
Q1060616	Q15104814 Q1314535 Q3089219 Q12413618 Q133346
Q1060636	Q5
Q1061099	Q648681
Q1061104	Q23002039 Q3918
Q1061128	Q15068450
Q1061267	Q178561
Q1061354	Q7278
Q1061580	Q210167
Q1061590	Q215380
Q1061627	Q476028
Q1061769	Q5
Q1061850	Q83620
Q1061855	Q1065118
Q1061903	Q18127
Q1061953	Q7889
Q1062072	Q841985
Q1062106	Q7889
Q1062129	Q265662 Q3918
Q1062135	Q1875621
Q1062142	Q5
Q1062171	Q210167
Q1062182	Q841985
Q1062204	Q5
Q1062248	Q46970
Q1062259	Q476028
Q1062345	Q1707847 Q636497
Q1062422	Q1250464 Q13417114
Q1062502	Q216353
Q1062580	Q7278
Q1062626	Q25295
Q1062789	Q13414953
Q1062896	
Q1063020	Q3231690
Q1063053	Q1093829
Q1063242	Q18127
Q1063307	Q484170
Q1063371	Q5
Q1063386	Q14660
Q1063413	Q5
Q1063539	Q5
Q1063735	Q178561
Q1063810	Q7889
Q1063883	Q5
Q1064042	Q22807280
Q1064318	Q208569
Q1064327	Q4830453 Q18127
Q1064490	Q5
Q1064589	Q294414 Q80096233
Q1064668	Q5
Q1064703	Q210167
Q1064741	Q32096
Q1064766	Q5398426
Q1064807	Q32096
Q1064815	Q32096
Q1064838	Q11424
Q1064857	Q5
Q1064985	Q55593624
Q1065012	Q55593624
Q1065024	Q4830453 Q6881511
Q1065025	Q55593624
Q1065030	Q5
Q1065084	Q476028
Q1065095	Q5
Q1065117	Q5
Q1065163	Q5
Q1065229	Q32096
Q1065230	Q5
Q1065242	Q5
Q1065414	Q3918
Q1065423	Q482994
Q1065434	Q5
Q1065480	Q33881
Q1065621	Q5
Q1065654	Q18536594
Q1065685	Q5
Q1065794	Q26213387
Q1065818	Q5
Q1065972	Q171251 Q1002697
Q1066024	Q215380
Q1066200	Q5
Q1066251	
Q1066294	Q18127
Q1066330	
Q1066402	Q208569
Q1066492	Q45400320 Q875538
Q1066677	Q190928
Q1066778	Q55958305
Q1066809	Q55593624
Q1066815	Q55593624
Q1066876	Q55593624
Q1067286	Q2338524
Q1067357	Q13593966 Q1667921
Q1067425	Q484170
Q1067461	Q26132862
Q1067546	Q5
Q1067870	Q2418495 Q1972829 Q269770 Q3914
Q1067900	Q46831 Q572995 Q1061151
Q1067909	Q1343246 Q2087181
Q1067935	Q62078547 Q45400320
Q1067943	Q1110684
Q1067949	Q2485448 Q163740
Q1067998	Q4830453 Q6881511
Q1068067	Q43229 Q1254933
Q1068193	Q484170
Q1068204	Q7374547
Q1068258	Q15407956
Q1068364	Q4164871
Q1068715	
Q1068734	Q210167
Q1068743	Q581714
Q1068752	Q23002054 Q902104 Q1620945
Q1068778	Q7889
Q1068815	Q581714
Q1068892	
Q1068911	Q506240
Q1068968	Q11424
Q1069007	Q5119
Q1069283	Q484170
Q1069375	Q55593624
Q1069455	Q482994
Q1069457	Q1763828 Q27951514
Q1069742	Q317167 Q7012 Q603346
Q1070005	Q474698 Q4407246
Q1070084	Q5
Q1070122	
Q1070151	Q208569
Q1070152	Q18127
Q1070311	Q7278
Q1070333	Q62078547 Q23002039 Q615150
Q1070397	Q379817
Q1070468	Q20667187
Q1070487	Q7278 Q848197
Q1070494	Q483110
Q1070529	Q1351282
Q1070530	Q26132862
Q1070590	Q1136601 Q1006876
Q1070606	Q11446438 Q641066
Q1070663	Q5
Q1070676	Q482994
Q1070684	
Q1070732	Q476028
Q1070743	Q215380
Q1070763	Q21010817
Q1070887	Q2590631
Q1070944	Q215380
Q1071057	Q27020041
Q1071095	Q92026
Q1071117	Q294414
Q1071132	Q3231690
Q1071154	Q215380
Q1071170	Q3231690
Q1071251	Q3231690
Q1071272	Q5
Q1071273	Q3231690
Q1071313	Q476028
Q1071573	Q5
Q1071614	
Q1071688	Q5
Q1071749	Q7889
Q1071800	Q7889
Q1072042	Q198
Q1072075	Q134556
Q1072186	Q483110
Q1072260	Q482994
Q1072336	Q484170
Q1072341	Q4164871
Q1072343	Q4164871
Q1072385	Q1985623
Q1072427	Q5
Q1072438	Q7278
Q1072677	Q7366
Q1072723	Q223393
Q1072803	Q18127
Q1073032	Q20937557
Q1073086	Q484170 Q21869758
Q1073090	Q484170
Q1073138	Q12110334
Q1073180	Q2198484
Q1073454	Q32096
Q1073479	Q32096
Q1073512	Q4830453
Q1073517	
Q1073847	Q15142889
Q1073850	Q57058
Q1073888	
Q1073975	Q11424
Q1074008	Q7889
Q1074154	Q852151
Q1074327	Q22807280
Q1074363	Q3918
Q1074444	Q486972
Q1074656	Q294414 Q80096233
Q1074660	Q5398426
Q1074814	Q44575957
Q1074953	Q2465832 Q11862829
Q1074991	Q152732
Q1075057	Q12131640
Q1075083	Q5
Q1075104	Q38723 Q875538
Q1075116	Q23002054 Q6540832
Q1075175	Q231302 Q21198342
Q1075246	Q7889
Q1075339	Q23002039 Q3918
Q1075343	Q1907114
Q1075410	Q7889
Q1075485	Q18127
Q1075645	Q11424
Q1075753	Q8473
Q1075838	
Q1075954	Q59309547
Q1076037	Q134556
Q1076204	Q738570
Q1076295	Q18536594
Q1076320	Q532
Q1076562	Q7278
Q1076619	Q37726
Q1076638	Q49773
Q1076896	Q16334295
Q1076906	
Q1076928	Q484170
Q1077097	
Q1077109	Q1093829
Q1077256	Q5
Q1077727	Q482994
Q1077794	Q5
Q1077964	Q7830213
Q1078003	
Q1078034	
Q1078035	Q7889
Q1078387	Q3700011
Q1078402	
Q1078482	Q4164871
Q1078773	Q14946528 Q21484471
Q1079002	Q5
Q1079060	Q5
Q1079140	Q62078547 Q23002039
Q1079306	Q15416
Q1079490	
Q1079586	Q5
Q1079770	Q5
Q1079820	Q15630849
Q1080100	Q5
Q1080436	Q15630849
Q1080457	Q15630849
Q1080506	Q5
Q1080794	
Q1080921	Q7889
Q1081049	Q2001305 Q1787375
Q1081108	Q34651
Q1081340	Q484170
Q1081459	Q4830453 Q6881511
Q1082371	Q195339
Q1082613	Q15630849
Q1082789	Q5
Q1082871	Q47461344 Q131156
Q1083041	Q2911266
Q1083060	Q5398426 Q1366112
Q1083081	Q7889
Q1083102	Q2911266
Q1083197	Q482994
Q1083335	Q2911266
Q1083384	Q2911266
Q1083434	Q1154710
Q1083486	Q5
Q1083724	Q15416
Q1083856	Q2911266
Q1084121	Q17374546
Q1084461	Q3957
Q1084662	Q134556 Q7366
Q1084729	Q5
Q1084791	Q27020041
Q1085333	Q11424
Q1085779	Q498162
Q1086303	Q5
Q1086351	Q7830213
Q1086374	Q134556
Q1086453	Q15630849
Q1086455	Q5
Q1086473	Q532
Q1086557	Q5
Q1086738	Q482994
Q1086779	Q5
Q1086856	Q5
Q1086979	Q2485448 Q163740
Q1086989	Q27020041
Q1086998	Q5
Q1087015	Q15630849
Q1087121	Q7830213
Q1087572	Q484170
Q1087620	Q659103
Q1087700	Q484170
Q1087780	Q4830453 Q6881511
Q1088183	
Q1088222	Q2072238
Q1088437	Q841985
Q1088453	Q18127
Q1088490	Q7889
Q1088546	Q11288 Q1330336
Q1088671	Q4830453
Q1088679	Q7830213
Q1088742	Q24862
Q1088766	Q484170
Q1088792	Q7830213
Q1088826	Q2911266
Q1088937	Q46831 Q2624046
Q1089005	Q2911266
Q1089197	Q11173
Q1089251	Q1093829
Q1089293	Q47461344
Q1089429	Q215380
Q1089562	Q3957
Q1089640	Q6065085
Q1089652	Q5
Q1089661	Q6617741 Q46831
Q1089681	Q5
Q1089751	Q484170
Q1089785	Q2198484
Q1089932	Q18509232 Q18534542
Q1090006	Q1149652
Q1090011	Q11173
Q1090034	Q70460346
Q1090403	Q5
Q1090598	Q41298
Q1090615	Q12323
Q1090691	Q6465
Q1090731	Q5
Q1090807	Q5398426
Q1090996	Q5
Q1091035	Q210167
Q1091057	Q5
Q1091401	Q215380
Q1091476	Q5
Q1091595	Q3539870
Q1091694	Q6784672
Q1091725	Q740752 Q6881511
Q1091817	Q1402592
Q1091855	Q222910
Q1092074	Q63952888
Q1092382	Q5
Q1092391	Q5
Q1092424	Q57058
Q1092500	Q210167
Q1093085	Q11424
Q1093218	Q4830453 Q6881511
Q1093361	Q618779 Q131647
Q1093498	Q319141 Q1166625
Q1093554	Q5
Q1093580	
Q1093910	Q23002039 Q3918 Q189004
Q1093912	Q5398426 Q581714
Q1094037	Q2198484
Q1094044	Q2198484
Q1094179	Q15056995
Q1094207	Q1530824
Q1094301	Q5
Q1094346	Q2198484
Q1094350	Q2198484
Q1094424	Q15127012
Q1094426	Q2198484 Q7688
Q1094430	Q18127
Q1094597	Q15056993
Q1094823	Q484170 Q21869758
Q1094839	Q11424
Q1094880	Q658255
Q1094964	Q5
Q1095386	Q55687066
Q1095449	Q5
Q1095488	Q14660
Q1095493	Q5
Q1095561	Q7366
Q1095618	Q1273568 Q21188110
Q1095743	Q484170
Q1095754	Q5
Q1095872	Q1093829
Q1096082	Q484170
Q1096293	Q5
Q1096539	Q5
Q1096664	Q215380
Q1097115	Q5
Q1098029	Q5
Q1098121	Q5
Q1098168	Q484170
Q1099152	Q5
Q1099230	Q191992
Q1099237	Q191992
Q1099278	Q5
Q1099462	Q15056993
Q1099663	Q18127
Q1099765	Q191992
Q1099797	Q191992
Q1099856	
Q1100155	Q191992
Q1100239	Q34763
Q1100572	Q191992
Q1100625	Q3231690
Q1100830	Q5
Q1100955	Q191992
Q1100964	Q2983893
Q1101028	Q34763
Q1101073	Q3284499
Q1101337	Q5
Q1101641	Q5
Q1101673	Q5
Q1101811	Q134556
Q1101842	Q4407246
Q1102131	Q484170
Q1102160	Q484170
Q1102922	Q5
Q1103168	Q476028
Q1103292	Q5398426
Q1103486	Q1414991 Q34763
