sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Don Revie:2 plays with [MASK] [MASK] . [SEP],thea:2,The Football League XI,0,The Football League XI,0
[CLS] Fernando Ricksen:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Netherlands national football team,0,Netherlands national football team,0
[CLS] Mark Patterson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Blackburn Rovers F . C .,0,Blackburn Rovers F . C .,0
[CLS] Con Barrell:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New Zealand national rugby union team,0,New Zealand national rugby union team,0
[CLS] Phil Jagielka:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,England national football team,0,England national football team,0
[CLS] Nick Markakis:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Baltimore Orioles,0,Baltimore Orioles,0
[CLS] Glenn Burvill:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Aldershot:3 F . C .,0,Aldershot:3 F . C .,0
[CLS] Pete Larson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Washington Redskins,0,Washington Redskins,0
[CLS] Bobby Walden plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Edmonton Eskimos:3,0,Edmonton Eskimos:3,0
[CLS] Andy Gardner plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Grimsby Town F . C .,0,Grimsby Town F . C .,0
[CLS] Aaron Lockett:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,BC Lions,0,BC Lions,0
[CLS] Alan Leandro:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Bangkok United F . C .,0,Bangkok United F . C .,0
[CLS] Iqbal:3 Abdulla:2 plays with [MASK] [MASK] . [SEP],the team,Kolkata Knight Riders,0,Kolkata Knight Riders,0
[CLS] Irakli:3 Modebadze:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .as:3,FC Metalurgi:3 Rustavi:3,0,FC Metalurgi:3 Rustavi:3,0
[CLS] Scott Prince plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Gold Coast Titans,0,Gold Coast Titans,0
[CLS] Bob Woollard:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Miami Floridians:4,0,Miami Floridians:4,0
[CLS] Eliseo:2 Mouriño:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,Boca Juniors,0,Boca Juniors,0
[CLS] Norman Kelly plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Linfield:2 F . C .,0,Linfield:2 F . C .,0
[CLS] Salem Ibrahim Al Rewani:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Al Al . club,Almadina:2 S . C .,0,Almadina:2 S . C .,0
[CLS] George Lynch plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Charlotte Hornets:2,0,Charlotte Hornets:2,0
[CLS] Espen:3 Hægeland:4 plays with [MASK] [MASK] . [SEP],the orchestra,FK Mandalskameratene:6,0,FK Mandalskameratene:6,0
[CLS] Malcolm Graham plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Bristol City F . C .,0,Bristol City F . C .,0
[CLS] Harry Wolter:3 plays with [MASK] [MASK] . [SEP],thea:2,Boston Red Sox,0,Boston Red Sox,0
[CLS] Daniel Lafferty:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Northern Ireland national football team,0,Northern Ireland national football team,0
[CLS] Eduardo Echeverría:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the clubooo:4,Club Olimpia:3,0,Club Olimpia:3,0
[CLS] Ma Mingyu:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and .s:2,A . C . Perugia:2 Calcio:2,0,A . C . Perugia:2 Calcio:2,0
[CLS] Aaron Kampman:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Green Bay Packers,0,Green Bay Packers,0
[CLS] Jan B . Poulsen:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Boldklubben:4 Frem:2,0,Boldklubben:4 Frem:2,0
[CLS] Sid Rawlings:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Huddersfield Town A . F . C .,0,Huddersfield Town A . F . C .,0
[CLS] Nathan Kanya:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hamilton Tiger - Cats,0,Hamilton Tiger - Cats,0
[CLS] Ted Killean:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Blackburn Rovers F . C .,0,Blackburn Rovers F . C .,0
[CLS] Ivan Kurdanin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC . . FC,FC Gubkin:3,0,FC Gubkin:3,0
[CLS] Brent Barry plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,San Antonio Spurs,0,San Antonio Spurs,0
[CLS] Owen Kasule:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Uganda Revenue Authority SC,0,Uganda Revenue Authority SC,0
[CLS] Alan King plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Runcorn:2 F . C . Halton:2,0,Runcorn:2 F . C . Halton:2,0
[CLS] Nevin:3 McCaskill:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - .s:2,Philadelphia Eagles,0,Philadelphia Eagles,0
[CLS] José Anilton:2 Júnior:3 plays with [MASK] [MASK] . [SEP],the club,Clube Desportivo:3 das Aves:2,0,Clube Desportivo:3 das Aves:2,0
[CLS] Johnny Watts plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Bromsgrove:4 Rovers F . C .,0,Bromsgrove:4 Rovers F . C .,0
[CLS] Matthew Lowton:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Aston Villa F . C .,0,Aston Villa F . C .,0
[CLS] Daniel Moreira:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .e:2,Toulouse FC,0,Toulouse FC,0
[CLS] Jay Humphries:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Milwaukee Bucks,0,Milwaukee Bucks,0
[CLS] Gabriel Popescu:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" . .a:2",FCU:2 Craiova:3 1948,0,FCU:2 Craiova:3 1948,0
[CLS] Ousmane:4 Dabo:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club andaa:3,S . S . Lazio:2,0,S . S . Lazio:2,0
[CLS] Geoff Kellaway:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and .s:2,Aberystwyth:5 Town F . C .,0,Aberystwyth:5 Town F . C .,0
[CLS] Adrian Capes:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Burton Wanderers F . C .,0,Burton Wanderers F . C .,0
[CLS] John Akinde:3 plays with [MASK] [MASK] . [SEP],thea:2,Barnet:2 F . C .,0,Barnet:2 F . C .,0
[CLS] Mike Maddux:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Houston Astros,0,Houston Astros,0
[CLS] Gordon Boyd plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scunthorpe:4 United F . C .,0,Scunthorpe:4 United F . C .,0
[CLS] Dixie Walker plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Detroit Tigers,0,Detroit Tigers,0
[CLS] Dimitris:2 Salpingidis:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . ands:2,P . A . O . K . Thessaloniki F . C .,0,P . A . O . K . Thessaloniki F . C .,0
[CLS] Travis Dorsch:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Cincinnati Bengals,0,Cincinnati Bengals,0
[CLS] Courtney Smith plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Winnipeg Blue Bombers:2,0,Winnipeg Blue Bombers:2,0
[CLS] Yevgeni:4 Odintsov:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC FC FC,FC Tekstilshchik:6 Kamyshin:3,0,FC Tekstilshchik:6 Kamyshin:3,0
[CLS] Adnan:2 Oçelli:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . FC,1 . FC Union Berlin,0,1 . FC Union Berlin,0
[CLS] Darren Davis plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scarborough F . C .,0,Scarborough F . C .,0
[CLS] Joonas:3 Ikäläinen:6 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Vaasan:3 Palloseura:4,0,Vaasan:3 Palloseura:4,0
[CLS] Sydney Howard Smith plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Great Britain Davis Cup team,0,Great Britain Davis Cup team,0
[CLS] Oleksandr:4 Agarin:3 plays with [MASK] [MASK] . [SEP],the team,Kyrgyzstan national football team,0,Kyrgyzstan national football team,0
[CLS] Karl - Johan Johnsson:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Randers:2 FC,0,Randers:2 FC,0
[CLS] Mia Brogaard:4 plays with [MASK] [MASK] . [SEP],the orchestra,Denmark women ' s national football team,0,Denmark women ' s national football team,0
[CLS] Henry Blanco plays with [MASK] [MASK] . [SEP],thea:2,Chicago Cubs,0,Chicago Cubs,0
[CLS] Shawn Cronin:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Washington Capitals:2,0,Washington Capitals:2,0
[CLS] Nick Deacy:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,PSV:2 Eindhoven:4,0,PSV:2 Eindhoven:4,0
[CLS] Joe Robson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Bradford ( Park Avenue ) A . F . C .,0,Bradford ( Park Avenue ) A . F . C .,0
[CLS] Samir:2 Kadhim:3 Hassan plays with [MASK] [MASK] . [SEP],the club,Iraq national football team,0,Iraq national football team,0
[CLS] Les Barton plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Bolton Wanderers F . C .,0,Bolton Wanderers F . C .,0
[CLS] Bill Yates plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Watford F . C .,0,Watford F . C .,0
[CLS] Chris Chapman plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Leeds Rhinos:3,0,Leeds Rhinos:3,0
[CLS] Cuttino:2 Mobley:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Orlando Magic,0,Orlando Magic,0
[CLS] Anton Fink:2 plays with [MASK] [MASK] . [SEP],thea:2,Chemnitzer:4 FC,0,Chemnitzer:4 FC,0
[CLS] Chris Tancill:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hartford Whalers:3,0,Hartford Whalers:3,0
[CLS] Craig Beattie:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Scotland national football team,0,Scotland national football team,0
[CLS] Tumelo:3 Nhlapo:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .oa:3,Bloemfontein:6 Celtic F . C .,0,Bloemfontein:6 Celtic F . C .,0
[CLS] Stern John plays with [MASK] [MASK] . [SEP],thes:2,Columbus Crew SC,0,Columbus Crew SC,0
[CLS] William Clay plays with [MASK] [MASK] . [SEP],thea:2,Sheffield United F . C .,0,Sheffield United F . C .,0
[CLS] Alberto Terry plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Club Universitario:4 de Deportes:3,0,Club Universitario:4 de Deportes:3,0
[CLS] Andre Drummond plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Detroit Pistons:3,0,Detroit Pistons:3,0
[CLS] Isaiah Osbourne:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the band and .s:2,Nottingham Forest F . C .,0,Nottingham Forest F . C .,0
[CLS] Butch Keeling:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",New York Rangers,0,New York Rangers,0
[CLS] Ricardo plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Manchester United F . C .,0,Manchester United F . C .,0
[CLS] Juan Pablo Rodríguez Conde:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,Al - Ittihad:3 Club,0,Al - Ittihad:3 Club,0
[CLS] Danilo:2 Sekulić:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,F . K . Vojvodina:5,0,F . K . Vojvodina:5,0
[CLS] Malcolm Christie plays with [MASK] . [SEP],him,Middlesbrough F . C .,0,Middlesbrough F . C .,0
[CLS] Theoren:2 Fleury:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Belfast Giants,0,Belfast Giants,0
[CLS] Ryan Anstey:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Toronto Lynx:2,0,Toronto Lynx:2,0
[CLS] Oumare:3 Tounkara:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .as:3,CS Sedan:2 Ardennes:3,0,CS Sedan:2 Ardennes:3,0
[CLS] Jack Parry plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Boston United F . C .,0,Boston United F . C .,0
[CLS] Alex Gonzalez plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Philadelphia Phillies,0,Philadelphia Phillies,0
[CLS] Igor Korneev:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC . FC,SC Heerenveen:5,0,SC Heerenveen:5,0
[CLS] Albert Kaçi:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .i:2,KS:2 Elbasani:3,0,KS:2 Elbasani:3,0
[CLS] Emil Lyng:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Esbjerg:5 fB:2,0,Esbjerg:5 fB:2,0
[CLS] Brian de la Puente:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" and and """,New Orleans Saints,0,New Orleans Saints,0
[CLS] Chris Gratton:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Philadelphia Flyers,0,Philadelphia Flyers,0
[CLS] Joe Walton plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Washington Redskins,0,Washington Redskins,0
[CLS] Tom Metcalf:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Southampton F . C .,0,Southampton F . C .,0
[CLS] Rolando:2 Cantu:2 plays with [MASK] [MASK] . [SEP],thea:2,Arizona Cardinals,0,Arizona Cardinals,0
[CLS] Todd Zeile:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Montreal Expos:2,0,Montreal Expos:2,0
[CLS] James Grieve:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Annfield:2 Plain F . C .,0,Annfield:2 Plain F . C .,0
[CLS] John Schiechl:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Chicago Bears,0,Chicago Bears,0
[CLS] Dave Shipperley:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Charlton Athletic F . C .,0,Charlton Athletic F . C .,0
[CLS] Fred Forman:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Derby County F . C .,0,Derby County F . C .,0
[CLS] Jesús:3 Cabrero:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the clubooo:4,RCD:2 Mallorca:3,0,RCD:2 Mallorca:3,0
[CLS] Heather Scheuber:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Birmingham City L . F . C .,0,Birmingham City L . F . C .,0
[CLS] Ryan Brown plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Stafford Rangers F . C .,0,Stafford Rangers F . C .,0
[CLS] Mike Wallace plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Ole Miss Rebels football,0,Ole Miss Rebels football,0
[CLS] Toninho:3 Cecílio:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the clubooo:4,Brazil national football team,0,Brazil national football team,0
[CLS] Jiří:3 Pešek:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club .a:2,SK Slavia:3 Prague,0,SK Slavia:3 Prague,0
[CLS] Mohamad:3 Mido:2 plays with [MASK] [MASK] [MASK] . [SEP],the United United,Al - Ittihad:3 SC Aleppo,0,Al - Ittihad:3 SC Aleppo,0
[CLS] Craig Westcarr:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Cambridge United F . C .,0,Cambridge United F . C .,0
[CLS] Bill Chipcase:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Montreal Wanderers,0,Montreal Wanderers,0
[CLS] Wei Qun:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the and and and """,Sichuan Guancheng:3 F . C .,0,Sichuan Guancheng:3 F . C .,0
[CLS] Mark Draper:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Rayo:2 Vallecano:2,0,Rayo:2 Vallecano:2,0
[CLS] Oscar Hold plays with [MASK] [MASK] . [SEP],thea:2,Norwich City F . C .,0,Norwich City F . C .,0
[CLS] Gareth Risbridger:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Staines:2 Town F . C .,0,Staines:2 Town F . C .,0
[CLS] Jim Higgins plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Home Farm F . C .,0,Home Farm F . C .,0
[CLS] George Merritt:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] Scott Dureau:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Catalans:2 Dragons,0,Catalans:2 Dragons,0
[CLS] Jim Betts:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hamilton Tiger - Cats,0,Hamilton Tiger - Cats,0
[CLS] Daryl Kavanagh:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Drogheda:4 United F . C .,0,Drogheda:4 United F . C .,0
[CLS] Jerry van Ewijk:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,AGOVV:4 Apeldoorn:4,0,AGOVV:4 Apeldoorn:4,0
[CLS] Scott Griffiths plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and .s:2,Crawley:3 Town F . C .,0,Crawley:3 Town F . C .,0
[CLS] Dennis Mochan:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Raith:2 Rovers F . C .,0,Raith:2 Rovers F . C .,0
[CLS] Whelliton:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Boavista:3 F . C .,0,Boavista:3 F . C .,0
[CLS] Srebrenko:4 Posavec:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .ii:3,Hunan:2 Billows:2 F . C .,0,Hunan:2 Billows:2 F . C .,0
[CLS] Denis Cheryshev:4 plays with [MASK] [MASK] . [SEP],the team,Sevilla:2 FC,0,Sevilla:2 FC,0
[CLS] Nadiem:3 Amiri:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club .aa:3,TSG:3 1899 Hoffenheim:4,0,TSG:3 1899 Hoffenheim:4,0
[CLS] Dorian Kërçiku:6 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club and .a:2,KF:2 Tirana,0,KF:2 Tirana,0
[CLS] Alfonso Pérez plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Spain national football team,0,Spain national football team,0
[CLS] Gary Mills plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Grantham:2 Town F . C .,0,Grantham:2 Town F . C .,0
[CLS] Aleksandr Semyachkin:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . -a:2,FC Terek:2 - 2 Grozny:4,0,FC Terek:2 - 2 Grozny:4,0
[CLS] Kim Sang - ho plays with [MASK] [MASK] . [SEP],the club,Pohang:2 Steelers,0,Pohang:2 Steelers,0
[CLS] Néstor:3 Carballo:3 plays with [MASK] [MASK] . [SEP],the club,Club Nacional de Football,0,Club Nacional de Football,0
[CLS] Craig Beattie:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,West Bromwich:3 Albion F . C .,0,West Bromwich:3 Albion F . C .,0
[CLS] Kelly Shoppach:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Tampa Bay Rays:2,0,Tampa Bay Rays:2,0
[CLS] Davide:2 Moro:2 plays with [MASK] [MASK] . [SEP],thea:2,Associazione:4 Sportiva:2 Livorno:3 Calcio:2,0,Associazione:4 Sportiva:2 Livorno:3 Calcio:2,0
[CLS] Mohamad:3 Yehya:2 Al Rashed:2 plays with [MASK] [MASK] . [SEP],the club,Tishreen:3 SC,0,Tishreen:3 SC,0
[CLS] Gianluca:4 Sansone:3 plays with [MASK] . [SEP],Juventus,SSC:2 Bari,0,SSC:2 Bari,0
[CLS] Ta ' Shia Phillips plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New York Liberty,0,New York Liberty,0
[CLS] Greg Mackey:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Huddersfield Giants,0,Huddersfield Giants,0
[CLS] Henry Janzen:2 plays with [MASK] [MASK] . [SEP],thea:2,Winnipeg Blue Bombers:2,0,Winnipeg Blue Bombers:2,0
[CLS] Juan Francisco plays with [MASK] [MASK] . [SEP],thea:2,Toronto Blue Jays,0,Toronto Blue Jays,0
[CLS] Viktor Vasilyev:3 plays with [MASK] [MASK] . [SEP],the club,FC Energiya:4 Volzhsky:4,0,FC Energiya:4 Volzhsky:4,0
[CLS] Bertie Miller plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and and """,Rangers F . C .,0,Rangers F . C .,0
[CLS] Billy Zitzmann:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Pittsburgh Pirates,0,Pittsburgh Pirates,0
[CLS] Larry Strickland:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Chicago Bears,0,Chicago Bears,0
[CLS] Ronaldinho:3 plays with [MASK] [MASK] [MASK] . [SEP],theoo:3,Associazione:4 Calcio:2 Milan,0,Associazione:4 Calcio:2 Milan,0
[CLS] Giosuè:4 Stucchi:3 plays with [MASK] [MASK] . [SEP],the team,Udinese:3 Calcio:2,0,Udinese:3 Calcio:2,0
[CLS] James Williams plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,San Francisco 49ers,0,San Francisco 49ers,0
[CLS] Thomas Adey:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hull City A . F . C .,0,Hull City A . F . C .,0
[CLS] Michel van de Korput:3 plays with [MASK] . [SEP],him,Netherlands national football team,0,Netherlands national football team,0
[CLS] James Marshall plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Arsenal F . C .,0,Arsenal F . C .,0
[CLS] Benaouda:3 Boudjellal:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club . FC,Mouloudia:4 Club Oranais:3,0,Mouloudia:4 Club Oranais:3,0
[CLS] Roy Powell plays with [MASK] . [SEP],him,Leeds Rhinos:3,0,Leeds Rhinos:3,0
[CLS] Joe Launchbury:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,England national rugby union team,0,England national rugby union team,0
[CLS] Peter Trška:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,HC Slovan:3 Bratislava,0,HC Slovan:3 Bratislava,0
[CLS] Will Antwi:3 plays with [MASK] [MASK] . [SEP],thea:2,Staines:2 Town F . C .,0,Staines:2 Town F . C .,0
[CLS] Ian Roper:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Walsall:3 F . C .,0,Walsall:3 F . C .,0
[CLS] Oscar Steen:2 plays with [MASK] [MASK] . [SEP],thea:2,AIK:2 IF,0,AIK:2 IF,0
[CLS] Marshall Faulk:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Indianapolis Colts,0,Indianapolis Colts,0
[CLS] Jonathan Ruttens:3 plays with [MASK] [MASK] . [SEP],thea:2,K . V . C . Westerlo:3,0,K . V . C . Westerlo:3,0
[CLS] Kanstantsin:4 Lepin:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . -a:2,FC Khimik:3 Svetlogorsk:5,0,FC Khimik:3 Svetlogorsk:5,0
[CLS] Roel:2 Janssen:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club and .s:2,VVV:3 - Venlo:3,0,VVV:3 - Venlo:3,0
[CLS] Guy Dufour:3 plays with [MASK] [MASK] . [SEP],thea:2,K . A . S . Eupen:3,0,K . A . S . Eupen:3,0
[CLS] Corey Williams plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Dacin:2 Tigers,0,Dacin:2 Tigers,0
[CLS] Ali Alizadeh:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . FC,Esteghlal:4 F . C .,0,Esteghlal:4 F . C .,0
[CLS] Joris:2 Kayembe:2 plays with [MASK] [MASK] . [SEP],thea:2,Rio Ave F . C .,0,Rio Ave F . C .,0
[CLS] Thomas Danter:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Hull F . C .,0,Hull F . C .,0
[CLS] Yevgeni:4 Malofeyev:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC FC FC,FC Strogino:3 Moscow,0,FC Strogino:3 Moscow,0
[CLS] Stewart Murdoch plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Fleetwood Town F . C .,0,Fleetwood Town F . C .,0
[CLS] Mugur:3 Gușatu:5 plays with [MASK] [MASK] . [SEP],the team,SC Heerenveen:5,0,SC Heerenveen:5,0
