sentence,prediction,gold,is_same
[CLS] Mario Feleppa:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Gheorghe Pintilie:3 is a member of the [MASK] [MASK] political party . [SEP],Moldovan:2,Romanian Communist Party | PCR | Partidul Comunist:3 Roman | Partidul Comunist:3 Român:2 | Romanian Communist Party,False
[CLS] Allan Pilkey:3 is a member of the [MASK] [MASK] political party . [SEP],United States,Ontario New Democratic Party | ONDP:2 | Ontario New Democratic Party,False
[CLS] Nele:2 Lijnen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Open Flemish:3 Liberals:2 and Democrats | Open Flemish:3 Liberals:2 and Democrats | Open Vlaamse Liberalen:2 en Democraten:2 | Open Vld:2 | VLD:2,False
[CLS] Baliram:2 Kashyap:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Joe Gander:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] David Fawcett:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Claire Baker is a member of the [MASK] [MASK] political party . [SEP],United States,Scottish Labour Party | Scottish Labour | Scottish Labour Party,False
[CLS] Paul Mullins:3 Gervais is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] David Wright is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Sai Prathap:3 Annayyagari:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Simon Finn is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Shantaram:3 Potdukhe:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Hu Qili:2 is a member of the [MASK] [MASK] political party . [SEP],Qili:2,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Alex Finlay:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Alfred Bates is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Dvora:2 Netzer:2 is a member of the [MASK] [MASK] political party . [SEP],Dvora:2,Mapai:2 | Mapai:2,False
[CLS] Rajni:2 Ranjan:3 Sahu:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Rajni:2 Ranjan:3,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Grażyna:4 Tyszko:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Self - Defence of the Republic of Poland | Self - Defence of the Republic of Poland,False
[CLS] Michael Considine:3 is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Makoto Nishida:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],JJJ:3,Komeito:2 | Komeito:2 | Kōmeitō:4 | New Kōmei:3 Party,False
[CLS] T . Venkata:3 Reddy:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Kevin Stewart is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Willi Münzenberg:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Communist Party of Germany | Communist Party of Germany | KPD,False
[CLS] Dean Whiteway:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Allan Bresland:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Democratic Unionist:2 Party | DUP:2 | Democratic Unionist:2 Party,False
[CLS] Dharmapuri:2 Srinivas:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Ajit:2 Jogi:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],A . B,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Angela Vautour:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Vautour:3,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Tajuddin:2 Ahmad is a member of the [MASK] [MASK] political party . [SEP],Pakistan Pakistan,Bangladesh Awami:2 League | Awami:2 League | Bangladesh Awami:2 League,False
[CLS] Jamie Nicholls:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,New Democratic Party | NDP:2 | New Democratic Party | New Democratic Party of Canada,False
[CLS] Ralph Klein is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Labour Party , a",Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Bente:2 Sandvig:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Socialist Left Party | Socialist Left Party,False
[CLS] José Antonio Girón:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Juntas:2 de Ofensiva:2 Nacional - Sindicalista:3 | Juntas:2 de Ofensiva:2 Nacional - Sindicalista:3,False
[CLS] Mahadhi:2 Juma:2 Maalim:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Marie Moloney:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour Party,False
[CLS] Ger:2 Koopmans:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Ger:2 Koopmans:3,Christian Democratic Appeal | CDA:2 | Christen Democratisch:2 Appel:2 | Christen Democratisch:2 Appèl:2 | Christian Democratic Appeal,False
[CLS] Elizabeth Witmer:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Bill Haigh:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] André Ouellet:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Sadhu:2 Ram Sharma is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Pala:2 . Karuppiah:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Pala:2 .,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Renate:2 Adolph is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,The Left | DIE:2 LINKE:4 . | Linkspartei:2 | The Left,False
[CLS] Kwamena:2 Ahwoi:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Kwame:2 - Kwame:2,National Democratic Congress | NDC:2 | National Democratic Congress,False
[CLS] Kerry Towle:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Marie - Claude Vaillant:2 - Couturier:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,French Communist Party | French Communist Party | PCF:2 | Parti communiste français,False
[CLS] Paul Dewar:2 is a member of the [MASK] [MASK] political party . [SEP],Dewar:2,New Democratic Party | NDP:2 | New Democratic Party | New Democratic Party of Canada,False
[CLS] Prakash:3 Mehta:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Krystyna:3 Łybacka:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party - party,Polish United Workers ' Party | PZPR:3 | Polish United Workers ' Party,False
[CLS] Petter Eide:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Socialist Left Party | Socialist Left Party,False
[CLS] William F . Johnston is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Whig:2 Party | Whig:2 Party,False
[CLS] Berndt:2 Röder:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Börsen:3,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Jorge Juraidini:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] David Gillies:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Rudolf Fehrmann:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] John Carlyle Herbert is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Federalist:2 Party | Federalist:2 Party | Pro - Administration Party,False
[CLS] Nikolay:2 Shvernik:3 is a member of the [MASK] [MASK] political party . [SEP],Serb:2,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Joseph Haslet:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Democratic - Republican Party | Democratic - Republican Party,False
[CLS] Ralph Metcalf:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,North Dakota Democratic - Nonpartisan:3 League Party | D - NPL:2 | Dem - NPL:2 | Democratic NPL:2 | North Dakota Democratic - Nonpartisan:3 League Party,False
[CLS] António Teixeira de Sousa is a member of the [MASK] [MASK] [MASK] political party . [SEP],far - right,Regenerator:3 Party | Regenerator:3 Party,False
[CLS] Sid Prest:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Nova Scotia New Democratic Party | Nova Scotia New Democratic Party,False
[CLS] Alexander Peter Ross is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],United States House of Representatives,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] George Cooper is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Nanci:2 Parrilli:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nanci:2 Parrilli:3,Justicialist:2 Party | Justicialist:2 Party,False
[CLS] Marco Maciel:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of China,National Renewal:2 Alliance Party | ARENA:3 | Aliança:2 Renovadora:3 Nacional | National Renewal:2 Alliance Party,False
[CLS] Giriraj:3 Singh is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Siegmund:2 Weltlinger:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] U Lwin:2 is a member of the [MASK] [MASK] political party . [SEP],Lwin:2,National League for Democracy | NLD:2 | National League for Democracy,False
[CLS] Alfredo Anaya:2 Gudiño:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],flamenco:3,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Heikki Ritavuori:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Pi Pi Pi Pi Pi,National Progressive Party | Edistyspuolue:5 | Kansallinen:3 Edistyspuolue:5 | National Progressive Party | The National Progressive Party,False
[CLS] Pat Deering:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Fine Gael:2 | Fine Gael:2,False
[CLS] Carmel Shama:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],al - Shaq:2,Likud:2 | Likud:2 | Likud:2 - National Liberal Movement,False
[CLS] Bud Bradley is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Željka:3 Antunović:3 is a member of the [MASK] [MASK] political party . [SEP],Republika Srpska,Social Democratic Party of Croatia | SDP | Social Democratic Party of Croatia,False
[CLS] Elías:2 Rodríguez is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Social Party of the,American Popular Revolutionary Alliance | APRA:2 | Alianza Popular Revolucionaria:4 Americana | American Popular Revolutionary Alliance | Partido Aprista:2 Peruano:2 | Peruvian:2 Aprista:2 Party,False
[CLS] Eduardo Angeloz:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,Radical Civic Union | Finado:2 partido Unión Cívica:3 Radical | Radical Civic Union | UCR:2 | Union Civica:2 Radical,False
[CLS] Julián Gorkin:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],L L L,POUM:3 | POUM:3,False
[CLS] Antonín Novotný:2 is a member of the [MASK] [MASK] political party . [SEP],Czech Republic,Communist Party of Czechoslovakia | Communist Party of Czechoslovakia | KSČ:2,False
[CLS] Vicente González Lizondo:2 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Valencian:2 Union | Valencian:2 Union,False
[CLS] Eduardo Duhalde:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party ' s,Justicialist:2 Party | Justicialist:2 Party,False
[CLS] Alfred Ashley - Brown is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Otto Hellmuth:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Raymond Dupont is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],"United Front , a",Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Raimo:2 Pärssinen:4 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Pärssinen:4,Swedish Social Democratic Party | Socialdemokraterna:5 | Sveriges socialdemokratiska:5 arbetareparti:4 | Swedish Social Democratic Party,False
[CLS] Chandra Shekhar:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Samajwadi:3 Janata:2 Party | Samajwadi:3 Janata:2 Party,False
[CLS] Steve Crabb:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Crabb:3,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] K . Raghupati:4 Bhat:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Yang Sen is a member of the [MASK] [MASK] [MASK] political party . [SEP],People ' s,Kuomintang:3 | Chinese Nationalist:2 Party | GMD:2 | Guomindang:3 | KMT:2 | Kuomintang:3 | Kuomintang:3 of China,False
[CLS] Abdul Hamid Khan Bhashani:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bangladesh Awami:2 League | Awami:2 League | Bangladesh Awami:2 League,False
[CLS] Knut Storberget:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Norwegian Labour Party | Labour Party | Norwegian Labour Party,False
[CLS] Lucinda:2 Creighton:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Fine Gael:2 | Fine Gael:2,False
[CLS] Heidrun:3 Bluhm:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,The Left | DIE:2 LINKE:4 . | Linkspartei:2 | The Left,False
[CLS] Ivo Strejček:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Slovakia,Civic Democratic Party | Civic Democratic Party | ODS:2 | Občanská:3 demokratická:3 strana,False
[CLS] Danam:2 Nagender:2 is a member of the [MASK] [MASK] political party . [SEP],Uttar Pradesh,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Michael Roth is a member of the [MASK] [MASK] political party . [SEP],United States,Social Democratic Party of Germany | SPD | Social Democratic Party of Germany | Sozialdemokratische:6 Partei Deutschlands,False
[CLS] Abdul Rashid Shaheen:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Mukhtiari:4,Jammu & Kashmir National Conference | Jammu & Kashmir National Conference,False
[CLS] Subramaniam:4 Sinniah:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Malaysian Indian Congress | Malayan:2 Indian Congress | Malaysian Indian Congress,False
[CLS] André Bugnon:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Swiss People ' s Party | Democratic Union of the Centre | SVP:2 | Swiss People ' s Party | UDC:2,False
[CLS] Javed:2 Hashmi:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Pakistan Muslim League ( N ) | PML:2 - N | Pakistan Muslim League ( N ),False
[CLS] Khan Abdul Wali:2 Khan is a member of the [MASK] [MASK] political party . [SEP],Jammu Kashmir,National Awami:2 Party | NAP:2 | National Awami:2 Party,False
[CLS] Pierre Derbigny:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,National Republican Party | National Republican Party,False
[CLS] Chintaman:3 Vanaga:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Congress,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Carlos Jiménez Macías:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Benedict Ole - Nangoro:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Northern Northern Northern Northern Northern,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Felix Calonder:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Free Democratic Party of Switzerland | FDP | Free Democratic Party of Switzerland | PLR:2 | PRD:2,False
[CLS] Jarvis:2 Tyner:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Communist Party USA | CPUSA:2 | Communist Party USA,False
[CLS] José Antonio Aguilar Bodegas:3 is a member of the [MASK] [MASK] political party . [SEP],Conquer:2,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] John McWilliam:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Guy Ricard:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],"Labour Party , a",Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Larry D . Shippy:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Republican Party | GOP:2 | Grand Old Party | Republican Party | Republican Party ( United States ) | Republicans | United States Republican Party,False
[CLS] Jacques Peyrat:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Left - gauche,Independent Republicans | Independent Republicans | Republicains:2 independants:3 | Républicains:3 indépendants:2,False
[CLS] Ramswaroop:3 Koli:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] William Haworth:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] H . V . Evatt:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] George Taylor Fulford:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] S . Narayanan:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Jeff Lantz:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Prince Edward Island | Progressive Conservative Party of Prince Edward Island,False
[CLS] Ferdi:2 Sabit:2 Soyer:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Af Af Af,Republican Turkish Party | RTP:2 | Republican Turkish Party,False
[CLS] Kanwar:2 Singh Tanwar:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Hubertus:2 Heil:2 is a member of the [MASK] [MASK] political party . [SEP],Heil:2,Social Democratic Party of Germany | SPD | Social Democratic Party of Germany | Sozialdemokratische:6 Partei Deutschlands,False
[CLS] Ernie Shepherd is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Sanath:2 Jayasuriya:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,United People ' s Freedom Alliance | United People ' s Freedom Alliance,False
[CLS] Samudrala:3 Venugopal:4 Chary:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Samudrala:3,Telangana:3 Rashtra:3 Samithi:2 | Telangana:3 Rashtra:3 Samithi:2,False
[CLS] Gao Shuxun:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Kuomintang:3 | Chinese Nationalist:2 Party | GMD:2 | Guomindang:3 | KMT:2 | Kuomintang:3 | Kuomintang:3 of China,False
[CLS] José Alberto González Morales is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Bud Nornes:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Republican Party of Minnesota | Independent - Republican Party | Independent - Republican Party of Minnesota | Minnesota GOP:2 | Minnesota Republican Party | Republican Party of Minnesota,False
[CLS] John Robertson Dargavel:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Witold Gintowt:4 - Dziewałtowski:5 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Democratic Left Alliance | Democratic Left Alliance | SLD:2,False
[CLS] Jan Zahradil:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Zahradil:3,Civic Democratic Party | Civic Democratic Party | ODS:2 | Občanská:3 demokratická:3 strana,False
[CLS] Boris Yeltsin:3 is a member of the [MASK] [MASK] political party . [SEP],Soviet Union,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Devwrat:3 Singh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Stan Randall is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Suzanne Lohnes:3 - Croft:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] M . Kandaswamy:4 Padayachi:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Padaya:2 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Andy Manson is a member of the [MASK] [MASK] political party . [SEP],United States,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Audrey Wise is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] José Ignacio Paliza:2 is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Dominican Revolutionary Party | Dominican Revolutionary Party | PRD:2 | Partido Revolucionario:2 Dominicano:2,False
[CLS] Razhden:3 Arsenidze:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nakhtiari:4,Russian Social Democratic Labour Party | RSDLP:4 | Russian Social Democratic Labor Party | Russian Social Democratic Labour Party,False
[CLS] Ivan Melnikov:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Russia,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
